Country,2018,2014,2010,2006,2002,1998,1994,1990,1986,1982,1978,1974,1970,1966,1962,1958,1954,1950,1938,1934,1930
England,136,174,140,113,164,135,126,128,144,108,87,80,84,80,77,80,67,48,40,61,72
Australia,198,137,180,221,205,196,181,162,121,107,84,82,82,73,105,66,48,80,66,8,14
Canada,82,82,76,87,117,99,129,113,116,82,109,62,66,57,31,27,43,30,44,54,49
Scotland,44,53,26,29,29,12,20,22,33,26,14,19,25,9,14,13,13,10,5,10,25
India,66,64,101,49,69,25,24,32,0,16,15,15,12,10,0,3,0,0,0,0,1
New Zealand,46,45,36,32,44,34,41,58,38,26,20,35,14,26,31,19,19,54,25,9,3
South Africa,37,40,33,38,46,34,11,0,0,0,0,0,0,0,0,31,35,20,26,17,21
Nigeria,24,36,33,17,19,0,37,25,0,13,0,10,2,10,0,2,7,1,0,0,0
Kenya,17,25,33,18,16,16,19,18,0,10,18,18,14,8,5,2,0,0,0,0,0
Jamaica,27,22,7,22,17,6,8,4,0,4,7,3,7,12,5,7,1,0,0,0,2
Singapore,9,17,30,18,12,0,0,0,1,1,0,1,2,0,2,2,0,0,0,0,0
Malaysia,24,19,36,29,34,35,6,4,0,2,4,4,3,5,0,0,0,0,0,0,0
Wales,36,36,19,19,31,15,19,25,23,9,8,10,12,7,6,11,7,1,3,3,6
Cyprus,14,8,11,6,4,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,12,12,10,2,5,4,10,9,15,6,5,6,9,7,1,5,3,0,0,1,3
Papua New Guinea,3,2,1,2,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
Cameroon,3,7,6,3,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,6,5,2,3,2,1,2,4,0,3,0,9,7,3,6,1,1,0,0,0,0
Grenada,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,5,1,4,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad & Tobago,0,8,6,3,1,3,2,0,0,0,4,2,7,9,2,1,4,0,0,0,0
Pakistan,5,4,5,5,8,1,3,0,0,0,0,0,9,9,9,10,6,0,0,0,0
Samoa,5,3,4,1,3,0,1,2,0,0,3,2,0,0,0,0,0,0,0,0,0
Bahamas,0,3,6,2,8,2,0,2,0,6,1,0,0,1,1,2,0,0,0,0,0
Namibia,2,3,3,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,1,2,2,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,1,1,2,2,15,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man,1,1,2,2,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
Bangladesh,2,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,6,1,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0
Zambia,0,2,0,0,3,1,4,3,0,6,4,3,4,0,0,0,1,0,0,0,0
Ghana,1,2,4,3,1,5,2,2,0,0,3,9,7,9,9,1,0,0,0,0,0
Fiji,4,1,0,1,3,1,0,0,0,1,0,0,1,0,2,0,0,5,0,0,0
Barbados,0,1,0,1,1,3,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0
St. Lucia,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Kitts & Nevis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Vincent & The Grenadines,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Swaziland,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Tanzania,0,0,0,2,2,3,1,3,0,5,2,2,1,0,0,0,0,0,0,0,0
Tonga,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks & Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,1,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,1,0,1,0,1,0,0,1,0,0,3,0,1,1,1,1,1,0,1,2,1
Jersey,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0
Lesotho,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Gambia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,2,5,6,3,0,1,0,0,0,0,7,3,12,1,2,0,2
Hong Kong,0,0,0,0,0,0,3,5,3,1,2,0,1,0,0,0,1,0,0,0,0
South Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0
Sabah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarawak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
