p_id,Name,Country,c_id
4091,C Bannerman,Australia,2
4153,JM Blackham,Australia,2
4625,BB Cooper,Australia,2
5364,TW Garrett,Australia,2
5432,DW Gregory,Australia,2
5433,EJ Gregory,Australia,2
5670,JR Hodges,Australia,2
5705,TP Horan,Australia,2
6141,TK Kendall,Australia,2
6605,WE Midwinter,Australia,2
7948,NFD Thomson,Australia,2
6138,TJD Kelly,Australia,2
6669,WL Murdoch,Australia,2
7663,FR Spofforth,Australia,2
3950,FE Allan,Australia,2
4089,AC Bannerman,Australia,2
4183,HF Boyle,Australia,2
3944,G Alexander,Australia,2
4167,GJ Bonnor,Australia,2
5446,TU Groube,Australia,2
6557,PS McDonnell,Australia,2
6658,WH Moule,Australia,2
7071,GE Palmer,Australia,2
7631,J Slight,Australia,2
4626,WH Cooper,Australia,2
5143,E Evans,Australia,2
5382,G Giffen,Australia,2
6517,HH Massie,Australia,2
4635,G Coulthard,Australia,2
6050,SP Jones,Australia,2
7581,HJH Scott,Australia,2
4228,W Bruce,Australia,2
6014,AH Jarvis,Australia,2
6492,AP Marr,Australia,2
6647,S Morris,Australia,2
6676,HA Musgrove,Australia,2
7134,RJ Pope,Australia,2
7367,WR Robertson,Australia,2
7978,JW Trumble,Australia,2
8260,J Worrall,Australia,2
6596,PG McShane,Australia,2
8149,FH Walters,Australia,2
6570,J McIlwraith,Australia,2
5225,JJ Ferris,Australia,2
6652,H Moses,Australia,2
7990,CTB Turner,Australia,2
3958,RC Allen,Australia,2
4250,FJ Burton,Australia,2
4631,JT Cottam,Australia,2
5383,WF Giffen,Australia,2
6328,JJ Lyons,Australia,2
5122,JD Edwards,Australia,2
7974,GHS Trott,Australia,2
22492,SMJ Woods,Australia,2
4102,JE Barrett,Australia,2
4245,EJK Burn,Australia,2
4563,PC Charlton,Australia,2
5438,SE Gregory,Australia,2
7977,H Trumble,Australia,2
4516,ST Callaway,Australia,2
4969,H Donnan,Australia,2
6585,RW McLeod,Australia,2
5422,H Graham,Australia,2
4897,J Darling,Australia,2
5976,FA Iredale,Australia,2
6046,E Jones,Australia,2
6584,CE McLeod,Australia,2
7315,JC Reedman,Australia,2
4611,A Coningham,Australia,2
5588,J Harry,Australia,2
21593,AE Trott,Australia,2
6579,TR McKibbin,Australia,2
5115,CJ Eady,Australia,2
5662,C Hill,Australia,2
6136,JJ Kelly,Australia,2
6936,MA Noble,Australia,2
5716,WP Howell,Australia,2
6402,FJ Laver,Australia,2
7980,VT Trumper,Australia,2
3982,WW Armstrong,Australia,2
4985,RA Duff,Australia,2
5703,AJY Hopkins,Australia,2
7564,JV Saunders,Australia,2
7963,JPF Travers,Australia,2
4632,A Cotter,Australia,2
6536,PA McAlister,Australia,2
5375,DRA Gehrs,Australia,2
4542,H Carter,Australia,2
5622,GR Hazlitt,Australia,2
6434,CG Macartney,Australia,2
7308,VS Ransford,Australia,2
5905,MJ Hartigan,Australia,2
6992,JDA O'Connor,Australia,2
4095,W Bardsley,Australia,2
8222,WJ Whitty,Australia,2
6132,C Kelleway,Australia,2
5706,HV Hordern,Australia,2
6622,RB Minnett,Australia,2
6527,TJ Matthews,Australia,2
