p_id,Name,Country,c_id
4091,Charles Bannerman,Australia,2
4153,John McCarthy Blackham,Australia,2
4625,Bransby Beauchamp Cooper,Australia,2
5364,Thomas William Garrett,Australia,2
5432,David William Gregory,Australia,2
5433,Edward James Gregory,Australia,2
5670,John Robart Hodges,Australia,2
5705,Thomas Patrick Horan,Australia,2
6141,Thomas Kingston Kendall,Australia,2
6605,William Evans Midwinter,Australia,2
7948,Nathaniel Frampton Davis Thomson,Australia,2
6138,Thomas Joseph Dart Kelly,Australia,2
6669,William Lloyd Murdoch,Australia,2
7663,Frederick Robert Spofforth,Australia,2
3950,Francis Erskine Allan,Australia,2
4089,Alexander Chalmers Bannerman,Australia,2
4183,Henry Frederick Boyle,Australia,2
3944,George Alexander,Australia,2
4167,George John Bonnor,Australia,2
5446,Thomas Underwood Groube,Australia,2
6557,Percy Stanislaus McDonnell,Australia,2
6658,William Henry Moule,Australia,2
7071,George Eugene Palmer,Australia,2
7631,James Slight,Australia,2
4626,William Henry Cooper,Australia,2
5143,Edwin Evans,Australia,2
5382,George Giffen,Australia,2
6517,Hugh Hamon Massie,Australia,2
4635,George Coulthard,Australia,2
6050,Samuel Percy Jones,Australia,2
7581,Henry James Herbert Scott,Australia,2
4228,William Bruce,Australia,2
6014,Arthur Harwood Jarvis,Australia,2
6492,Alfred Percy Marr,Australia,2
6647,Samuel Morris,Australia,2
6676,Henry Alfred Musgrove,Australia,2
7134,Roland James Pope,Australia,2
7367,William Roderick Robertson,Australia,2
7978,John William Trumble,Australia,2
8260,John Worrall,Australia,2
6596,Patrick George McShane,Australia,2
8149,Francis Henry Walters,Australia,2
6570,John McIlwraith,Australia,2
5225,John James Ferris,Australia,2
6652,Henry Moses,Australia,2
7990,Charles Thomas Biass Turner,Australia,2
3958,Reginald Charles Allen,Australia,2
4250,Frederick John Burton,Australia,2
4631,John Thomas Cottam,Australia,2
5383,Walter Frank Giffen,Australia,2
6328,John James Lyons,Australia,2
5122,John Dunlop Edwards,Australia,2
7974,George Henry Stevens Trott,Australia,2
22492,Samuel Moses James Woods,Australia,2
4102,John Edward Barrett,Australia,2
4245,Edwin James Kenneth Burn,Australia,2
4563,Percie Chater Charlton,Australia,2
5438,Sydney Edward Gregory,Australia,2
7977,Hugh Trumble,Australia,2
4516,Sydney Thomas Callaway,Australia,2
4969,Henry Donnan,Australia,2
6585,Robert William McLeod,Australia,2
5422,Henry Graham,Australia,2
4897,Joseph Darling,Australia,2
5976,Francis Adams Iredale,Australia,2
6046,Ernest Jones,Australia,2
6584,Charles Edward McLeod,Australia,2
7315,John Cole Reedman,Australia,2
4611,Arthur Coningham,Australia,2
5588,John Harry,Australia,2
21593,Albert Edwin Trott,Australia,2
6579,Thomas Robert McKibbin,Australia,2
5115,Charles John Eady,Australia,2
5662,Clement Hill,Australia,2
6136,James Joseph Kelly,Australia,2
6936,Montague Alfred Noble,Australia,2
5716,William Peter Howell,Australia,2
6402,Frank Jonas Laver,Australia,2
7980,Victor Thomas Trumper,Australia,2
3982,Warwick Windridge Armstrong,Australia,2
4985,Reginald Alexander Duff,Australia,2
5703,Albert John Young Hopkins,Australia,2
7564,John Victor Saunders,Australia,2
7963,Joseph Patrick Francis Travers,Australia,2
4632,Albert Cotter,Australia,2
6536,Peter Alexander McAlister,Australia,2
5375,Donald Raeburn Algernon Gehrs,Australia,2
4542,Hanson Carter,Australia,2
5622,Gervys Rignold Hazlitt,Australia,2
6434,Charles George Macartney,Australia,2
7308,Vernon Seymour Ransford,Australia,2
5905,Michael Joseph Hartigan,Australia,2
6992,John Denis Alphonsus O'Connor,Australia,2
4095,Warren Bardsley,Australia,2
8222,William James Whitty,Australia,2
6132,Charles Kelleway,Australia,2
5706,Herbert Vivian Hordern,Australia,2
6622,Roy Baldwin Minnett,Australia,2
6527,Thomas James Matthews,Australia,2
6581,John William McLaren,Australia,2
4533,William Carkeek,Australia,2
5140,Sidney Hand Emery,Australia,2
6023,Claude Barrows Jennings,Australia,2
7640,David Bertram Miller Smith,Australia,2
6530,Edgar Richard Mayne,Australia,2
4602,Herbert Leslie Collins,Australia,2
5435,Jack Morrison Gregory,Australia,2
6465,Arthur Alfred Mailey,Australia,2
7003,William Albert Stanley Oldfield,Australia,2
7099,Clarence Everard Pellew,Australia,2
7416,John Ryder,Australia,2
7921,John Morris Taylor,Australia,2
7079,Roy Lindsay Park,Australia,2
6555,Edgar Arthur McDonald,Australia,2
3971,Thomas James Edwin Andrews,Australia,2
5637,Hunter Scott Thomas Laurie Hendry,Australia,2
7131,William Harold Ponsford,Australia,2
7334,Arthur John Richardson,Australia,2
7346,Victor York Richardson,Australia,2
5591,Albert Ernst Victor Hartkopf,Australia,2
5443,Clarence Victor Grimmett,Australia,2
6154,Alan Falconer Kippax,Australia,2
8246,William Maldon Woodfull,Australia,2
4188,Donald George Bradman,Australia,2
5977,Herbert Ironmonger,Australia,2
4154,Donald Dearness Blackie,Australia,2
6944,Otto Ernest Nothling,Australia,2
3931,Edward Lambert a'Beckett,Australia,2
7023,Ronald Keven Oxenham,Australia,2
6000,Archibald Jackson,Australia,2
5209,Alan Geoffrey Fairfax,Australia,2
5707,Percival Mitchell Hornibrook,Australia,2
8142,Thomas Welbourn Wall,Australia,2
6540,Stanley Joseph McCabe,Australia,2
5733,Alexander Hurwood,Australia,2
7356,Keith Edward Rigg,Australia,2
6931,Homesdale Charles Nitschke,Australia,2
6280,Philip Keith Lee,Australia,2
5730,William Alfred Hunt,Australia,2
7020,William Joseph O'Reilly,Australia,2
7952,Hugh Motley Thurlow,Australia,2
5229,John Henry Webb Fingleton,Australia,2
6915,Laurence John Nash,Australia,2
6911,Lisle Ernest Nagel,Australia,2
6989,Leo Patrick Joseph O'Brien,Australia,2
4210,Ernest Harvey Bromley,Australia,2
4899,Leonard Stuart Darling,Australia,2
6319,Hampden Stanley Bray Love,Australia,2
3945,Harry Houston Alexander,Australia,2
4225,William Alfred Brown,Australia,2
4570,Arthur Gordon Chipperfield,Australia,2
