p_id,Name,Country,c_id
4091,Charles Bannerman,Australia,2
4153,Jack Blackham,Australia,2
4625,Bransby Cooper,Australia,2
5364,Tom Garrett,Australia,2
5432,Dave Gregory,Australia,2
5433,Ned Gregory,Australia,2
5670,John Hodges,Australia,2
5705,Tom Horan,Australia,2
6141,Tom Kendall,Australia,2
6605,Billy Midwinter,Australia,2
7948,Nat Thomson,Australia,2
6138,Thomas Kelly,Australia,2
6669,Billy Murdoch,Australia,2
7663,Frederick Spofforth,Australia,2
3950,Frank Allan,Australia,2
4089,Alec Bannerman,Australia,2
4183,Harry Boyle,Australia,2
3944,George Alexander,Australia,2
4167,George Bonnor,Australia,2
5446,Tom Groube,Australia,2
6557,Percy McDonnell,Australia,2
6658,William Moule,Australia,2
7071,Joey Palmer,Australia,2
7631,Jim Slight,Australia,2
4626,William Cooper,Australia,2
5143,Edwin Evans,Australia,2
5382,George Giffen,Australia,2
6517,Hugh Massie,Australia,2
4635,George Coulthard,Australia,2
6050,Sammy Jones,Australia,2
7581,Tup Scott,Australia,2
4228,William Bruce,Australia,2
6014,Affie Jarvis,Australia,2
6492,Alfred Marr,Australia,2
6647,Sam Morris,Australia,2
6676,Harry Musgrove,Australia,2
7134,Roland Pope,Australia,2
7367,Digger Robertson,Australia,2
7978,John Trumble,Australia,2
8260,Jack Worrall,Australia,2
6596,George McShane,Australia,2
8149,Frank Walters,Australia,2
6570,John McIlwraith,Australia,2
5225,J.J. Ferris,Australia,2
6652,Harry Moses,Australia,2
7990,Charlie Turner,Australia,2
3958,Reginald Allen,Australia,2
4250,Fred Burton,Australia,2
4631,John Cottam,Australia,2
5383,Walter Giffen,Australia,2
6328,John Lyons,Australia,2
5122,Jack Edwards,Australia,2
7974,Harry Trott,Australia,2
22492,Sammy Woods,Australia,2
4102,Jack Barrett,Australia,2
4245,Kenny Burn,Australia,2
4563,Percie Charlton,Australia,2
5438,Syd Gregory,Australia,2
7977,Hugh Trumble,Australia,2
4516,Sydney Callaway,Australia,2
4969,Harry Donnan,Australia,2
6585,Bob McLeod,Australia,2
5422,Harry Graham,Australia,2
4897,Joe Darling,Australia,2
5976,Frank Iredale,Australia,2
6046,Ernie Jones,Australia,2
6584,Charlie McLeod,Australia,2
7315,John Reedman,Australia,2
4611,Arthur Coningham,Australia,2
5588,John Harry,Australia,2
21593,Albert Trott,Australia,2
6579,Tom McKibbin,Australia,2
5115,Charles Eady,Australia,2
5662,Clem Hill,Australia,2
6136,James Kelly,Australia,2
6936,Monty Noble,Australia,2
5716,Bill Howell,Australia,2
6402,Frank Laver,Australia,2
7980,Victor Trumper,Australia,2
3982,Warwick Armstrong,Australia,2
4985,Reggie Duff,Australia,2
5703,Bert Hopkins,Australia,2
7564,Jack Saunders,Australia,2
7963,Ike Travers,Australia,2
4632,Tibby Cotter,Australia,2
6536,Peter McAlister,Australia,2
5375,Algy Gehrs,Australia,2
4542,Sammy Carter,Australia,2
5622,Gerry Hazlitt,Australia,2
6434,Charles Macartney,Australia,2
7308,Vernon Ransford,Australia,2
5905,Roger Hartigan,Australia,2
6992,Jack O'Connor,Australia,2
4095,Warren Bardsley,Australia,2
8222,Bill Whitty,Australia,2
6132,Charles Kelleway,Australia,2
5706,Ranji Hordern,Australia,2
6622,Roy Minnett,Australia,2
6527,Jimmy Matthews,Australia,2
6581,John McLaren,Australia,2
4533,Barlow Carkeek,Australia,2
5140,Sid Emery,Australia,2
6023,Claude Jennings,Australia,2
7640,Dave Smith,Australia,2
6530,Ernie Mayne,Australia,2
4602,Herbie Collins,Australia,2
5435,Jack Gregory,Australia,2
6465,Arthur Mailey,Australia,2
7003,Bert Oldfield,Australia,2
7099,Nip Pellew,Australia,2
7416,Jack Ryder,Australia,2
7921,Johnny Taylor,Australia,2
7079,Roy Park,Australia,2
6555,Ted McDonald,Australia,2
3971,Tommy Andrews,Australia,2
5637,Stork Hendry,Australia,2
7131,Bill Ponsford,Australia,2
7334,Arthur Richardson,Australia,2
7346,Vic Richardson,Australia,2
5591,Albert Hartkopf,Australia,2
5443,Clarrie Grimmett,Australia,2
6154,Alan Kippax,Australia,2
8246,Bill Woodfull,Australia,2
4188,Sir Donald Bradman,Australia,2
5977,Bert Ironmonger,Australia,2
4154,Don Blackie,Australia,2
6944,Otto Nothling,Australia,2
3931,Ted a'Beckett,Australia,2
7023,Ron Oxenham,Australia,2
6000,Archie Jackson,Australia,2
5209,Alan Fairfax,Australia,2
5707,Percy Hornibrook,Australia,2
8142,Tim Wall,Australia,2
6540,Stan McCabe,Australia,2
5733,Alec Hurwood,Australia,2
7356,Keith Rigg,Australia,2
6931,Jack Nitschke,Australia,2
6280,Perker Lee,Australia,2
5730,Bill Hunt,Australia,2
7020,Bill O'Reilly,Australia,2
7952,Pud Thurlow,Australia,2
5229,Jack Fingleton,Australia,2
6915,Laurie Nash,Australia,2
6911,Lisle Nagel,Australia,2
6989,Leo O'Brien,Australia,2
4210,Ernie Bromley,Australia,2
4899,Len Darling,Australia,2
6319,Hammy Love,Australia,2
3945,Harry Alexander,Australia,2
4225,Bill Brown,Australia,2
4570,Arthur Chipperfield,Australia,2
5119,Hans Ebeling,Australia,2
5327,Chuck Fleetwood-Smith,Australia,2
6546,Ernie McCormick,Australia,2
4076,Jack Badcock,Australia,2
7377,Ray Robinson,Australia,2
7614,Morris Sievers,Australia,2
8157,Frank Ward,Australia,2
5436,Ross Gregory,Australia,2
4100,Ben Barnett,Australia,2
5607,Lindsay Hassett,Australia,2
8133,Mervyn Waite,Australia,2
4098,Sid Barnes,Australia,2
6100,Ian Johnson,Australia,2
6299,Ray Lindwall,Australia,2
6545,Colin McCool,Australia,2
6601,Ken Meuleman,Australia,2
6612,Keith Miller,Australia,2
7913,Don Tallon,Australia,2
7960,Ernie Toshack,Australia,2
6644,Arthur Morris,Australia,2
7968,George Tribe,Australia,2
5325,Fred Freer,Australia,2
4971,Bruce Dooland,Australia,2
5600,Merv Harvey,Australia,2
5565,Ron Hamence,Australia,2
6041,Bill Johnston,Australia,2
5603,Neil Harvey,Australia,2
6031,Len Johnson,Australia,2
6323,Sam Loxton,Australia,2
7357,Doug Ring,Australia,2
7551,Ron Saggers,Australia,2
6639,Jack Moroney,Australia,2
6933,Geff Noblet,Australia,2
5980,Jack Iverson,Australia,2
3978,Ken Archer,Australia,2
4242,Jim Burke,Australia,2
5690,Graeme Hole,Australia,2
6258,Gil Langley,Australia,2
4123,Richie Benaud,Australia,2
6554,Colin McDonald,Australia,2
7949,George Thoms,Australia,2
3980,Ron Archer,Australia,2
4652,Ian Craig,Australia,2
4902,Alan Davidson,Australia,2
5663,Jack Hill,Australia,2
4932,Jim de Courcy,Australia,2
5220,Les Favell,Australia,2
6457,Len Maddocks,Australia,2
4241,Peter Burge,Australia,2
8181,Bill Watson,Australia,2
4656,Pat Crawford,Australia,2
6445,Ken Mackay,Australia,2
7411,John Rutherford,Australia,2
8237,Jack Wilson,Australia,2
5449,Wally Grout,Australia,2
6159,Lindsay Kline,Australia,2
6598,Ian Meckiff,Australia,2
7619,Bob Simpson,Australia,2
5372,Ron Gaunt,Australia,2
7015,Norm O'Neill,Australia,2
7627,Keith Slater,Australia,2
7395,Gordon Rorke,Australia,2
7674,Gavin Stevens,Australia,2
6013,Barry Jarman,Australia,2
6509,Johnny Martin,Australia,2
6625,Frank Misson,Australia,2
5669,Des Hoare,Australia,2
6270,Bill Lawry,Australia,2
6576,Graham McKenzie,Australia,2
4171,Brian Booth,Australia,2
5450,Colin Guest,Australia,2
7604,Barry Shepherd,Australia,2
5611,Neil Hawke,Australia,2
4613,Alan Connolly,Australia,2
8103,Tom Veivers,Australia,2
7314,Ian Redpath,Australia,2
4628,Grahame Corling,Australia,2
4645,Bob Cowper,Australia,2
7592,Rex Sellers,Australia,2
4560,Ian Chappell,Australia,2
7623,David Sincock,Australia,2
6531,Laurie Mayne,Australia,2
7117,Peter Philpott,Australia,2
7934,Grahame Thomas,Australia,2
3953,Peter Allan,Australia,2
8151,Doug Walters,Australia,2
7666,Keith Stackpole,Australia,2
7328,David Renneberg,Australia,2
7912,Brian Taber,Australia,2
8176,Graeme Watson,Australia,2
5398,John Gleeson,Australia,2
7597,Paul Sheahan,Australia,2
5258,Eric Freeman,Australia,2
6054,Les Joslin,Australia,2
5975,John Inverarity,Australia,2
6472,Ashley Mallett,Australia,2
6022,Terry Jenner,Australia,2
6502,Rod Marsh,Australia,2
7944,Alan Thomson,Australia,2
4558,Greg Chappell,Australia,2
4992,Ross Duncan,Australia,2
7002,Kerry O'Keeffe,Australia,2
6295,Dennis Lillee,Australia,2
4937,Tony Dell,Australia,2
5117,Ken Eastwood,Australia,2
4600,David Colley,Australia,2
5253,Bruce Francis,Australia,2
5124,Ross Edwards,Australia,2
6518,Bob Massie,Australia,2
4121,John Benaud,Australia,2
7946,Jeff Thomson,Australia,2
8137,Max Walker,Australia,2
8173,John Watkins,Australia,2
5569,Jeff Hammond,Australia,2
4916,Ian Davis,Australia,2
5396,Gary Gilmour,Australia,2
4999,Geoff Dymock,Australia,2
5732,Alan Hurst,Australia,2
8244,Ashley Woodcock,Australia,2
5126,Wally Edwards,Australia,2
6547,Rick McCosker,Australia,2
7989,Alan Turner,Australia,2
4629,Gary Cosier,Australia,2
8448,Graham Yallop,Australia,2
5696,David Hookes,Australia,2
7083,Len Pascoe,Australia,2
7376,Richie Robinson,Australia,2
7594,Craig Serjeant,Australia,2
4208,Ray Bright,Australia,2
5724,Kim Hughes,Australia,2
6474,Mick Malone,Australia,2
4584,Wayne Clark,Australia,2
5648,Paul Hibbert,Australia,2
6477,Tony Mann,Australia,2
6996,David Ogilvie,Australia,2
7360,Steve Rixon,Australia,2
7959,Peter Toohey,Australia,2
5001,John Dyson,Australia,2
5358,Sam Gannon,Australia,2
4517,Ian Callen,Australia,2
4900,Rick Darling,Australia,2
8251,Graeme Wood,Australia,2
8449,Bruce Yardley,Australia,2
5652,Jim Higgs,Australia,2
6261,Trevor Laughlin,Australia,2
5685,Rodney Hogg,Australia,2
6452,John Maclean,Australia,2
4174,Allan Border,Australia,2
4534,Phil Carlson,Australia,2
8264,Kevin Wright,Australia,2
5656,Andrew Hilditch,Australia,2
7630,Peter Sleep,Australia,2
8210,Dav Whatmore,Australia,2
6654,Jeff Moss,Australia,2
6250,Bruce Laird,Australia,2
8224,Julien Wiener,Australia,2
4112,Graeme Beard,Australia,2
6272,Geoff Lawson,Australia,2
3943,Terry Alderman,Australia,2
4561,Trevor Chappell,Australia,2
6143,Martin Kent,Australia,2
8220,Mike Whitney,Australia,2
8198,Dirk Wellham,Australia,2
7358,Greg Ritchie,Australia,2
7302,Carl Rackemann,Australia,2
47884,Kepler Wessels,Australia,2
5679,Tom Hogan,Australia,2
8256,Roger Woolley,Australia,2
7115,Wayne Phillips,Australia,2
6460,John Maguire,Australia,2
6525,Greg Matthews,Australia,2
7656,Steve Smith,Australia,2
6044,Dean Jones,Australia,2
4169,David Boon,Australia,2
5692,Bob Holland,Australia,2
4127,Murray Bennett,Australia,2
6551,Craig McDermott,Australia,2
6995,Simon O'Donnell,Australia,2
5385,Dave Gilbert,Australia,2
6145,Robbie Kerr,Australia,2
5726,Merv Hughes,Australia,2
6499,Geoff Marsh,Australia,2
7319,Bruce Reid,Australia,2
8192,Steve Waugh,Australia,2
4923,Simon Davis,Australia,2
8468,Tim Zoehrer,Australia,2
6523,Chris Matthews,Australia,2
