Country,1975,1979,1983,1987,1992,1996,1999,2003,2007,2011,2015,2019
Afghanistan,0,0,0,0,0,0,0,0,0,0,19,10
Australia,3,0,11,24,10,16,19,42,67,18,46,18
Bangladesh,0,0,0,0,0,0,2,9,17,5,25,6
Bermuda,0,0,0,0,0,0,0,0,6,0,0,0
Canada,0,1,0,0,0,0,0,19,8,14,0,0
East Africa,1,0,0,0,0,0,0,0,0,0,0,0
England,8,6,17,10,11,9,4,12,21,13,18,22
India,1,0,15,28,8,15,27,33,21,29,36,10
Ireland,0,0,0,0,0,0,0,0,18,21,28,0
Kenya,0,0,0,0,0,10,9,13,6,14,0,0
Namibia,0,0,0,0,0,0,0,8,0,0,0,0
Netherlands,0,0,0,0,0,6,0,15,4,15,0,0
New Zealand,5,3,1,9,22,16,10,26,43,36,55,7
Pakistan,3,4,10,9,6,12,25,9,18,11,25,16
Scotland,0,0,0,0,0,0,6,0,5,0,13,0
South Africa,0,0,0,0,4,19,30,26,51,21,56,10
Sri Lanka,0,3,11,11,7,30,4,10,38,18,26,3
United Arab Emirates,0,0,0,0,0,9,0,0,0,0,14,0
West Indies,7,11,9,19,16,5,6,22,42,33,68,9
Zimbabwe,0,0,3,16,9,1,11,15,8,11,34,0
