Player,Runs,Team,Opposition,Stadium,Location,Date
Dennis Amiss,137,England,India,Lord's Cricket Ground,London,1975
Glenn Turner,171,New Zealand,East Africa,Edgbaston Cricket Ground,Birmingham,1975
Keith Fletcher,131,England,New Zealand,Trent Bridge,Nottingham,1975
Alan Turner,101,Australia,Sri Lanka,The Oval,London,1975
Glenn Turner,114,New Zealand,India,Old Trafford Cricket Ground,Manchester,1975
Clive Lloyd,102,West Indies,Australia,Lord's Cricket Ground,London,1975
Gordon Greenidge,106,West Indies,India,Edgbaston Cricket Ground,Birmingham,1979
Viv Richards,138,West Indies,England,Lord's Cricket Ground,London,1979
Allan Lamb,102,England,New Zealand,The Oval,London,1983
David Gower,130,England,Sri Lanka,County Ground,Taunton,1983
Trevor Chappell,110,Australia,India,Trent Bridge,Nottingham,1983
Gordon Greenidge,105,West Indies,Zimbabwe,New Road,Worcester,1983
Viv Richards,119,West Indies,India,The Oval,London,1983
Imran Khan,102,Pakistan,Sri Lanka,Headingley Stadium,Leeds,1983
Kapil Dev,175,India,Zimbabwe,Nevill Ground,Royal Tunbridge Wells,1983
Zaheer Abbas,103,Pakistan,New Zealand,Trent Bridge,Nottingham,1983
Javed Miandad,103,Pakistan,Sri Lanka,Niaz Stadium,Hyderabad,1987
Geoff Marsh,110,Australia,India,M. A. Chidambaram Stadium,Madras[f],1987
David Houghton,142,Zimbabwe,New Zealand,Lal Bahadur Shastri Stadium,Hyderabad,1987
Desmond Haynes,105,West Indies,Sri Lanka,National Stadium,Karachi,1987
Viv Richards,181,West Indies,Sri Lanka,National Stadium,Karachi,1987
Rameez Raja,113,Pakistan,England,National Stadium,Karachi,1987
Saleem Malik,100,Pakistan,Sri Lanka,Iqbal Stadium,Faisalabad,1987
Geoff Marsh,126,Australia,New Zealand,Sector 16 Stadium,Chandigarh,1987
Richie Richardson,110,West Indies,Pakistan,National Stadium,Karachi,1987
Sunil Gavaskar,103,India,New Zealand,Vidharba Cricket Association Ground,Nagpur,1987
Graham Gooch,115,England,India,Wankhede stadium,Bombay,1987
Martin Crowe,100,New Zealand,Australia,Eden Park,Auckland,1992
David Boon,100,Australia,New Zealand,Eden Park,Auckland,1992
Andy Flower,115,Zimbabwe,Sri Lanka,Pukekura Park,New Plymouth,1992
Rameez Raja,102,Pakistan,West Indies,Melbourne Cricket Ground,Melbourne,1992
Aamer Sohail,114,Pakistan,Zimbabwe,Bellerive Oval,Hobart,1992
Phil Simmons,110,West Indies,Sri Lanka,Berri Oval,Berri,1992
Rameez Raja,119,Pakistan,New Zealand,AMI Stadium,Christchurch,1992
David Boon,100,Australia,West Indies,Melbourne Cricket Ground,Melbourne,1992
Nathan Astle,101,New Zealand,England,Sardar Patel Stadium,Ahmedabad,1996
Gary Kirsten,188,South Africa,United Arab Emirates,Rawalpindi Cricket Stadium,Rawalpindi,1996
Sachin Tendulkar,127,India,Kenya,Barabati Stadium,Cuttack,1996
Graeme Hick,104,England,Netherlands,Arbab Niaz Stadium,Peshawar,1996
Mark Waugh,130,Australia,Kenya,Indira Priyadarshini Stadium,Visakhapatnam,1996
Mark Waugh,126,Australia,India,Wankhede Stadium,Mumbai,1996
Aamer Sohail,111,Pakistan,South Africa,National Stadium,Karachi,1996
Sachin Tendulkar,137,India,Sri Lanka,Feroz Shah Kotla Ground,Delhi,1996
Ricky Ponting,102,Australia,West Indies,Sawai Mansingh Stadium,Jaipur,1996
Andrew Hudson,161,South Africa,Netherlands,Rawalpindi Cricket Stadium,Rawalpindi,1996
Aravinda de Silva,145,Sri Lanka,Kenya,Asgiriya Stadium,Kandy,1996
Vinod Kambli,106,India,Zimbabwe,Green Park Stadium,Kanpur,1996
Brian Lara,111,West Indies,South Africa,National Stadium,Karachi,1996
Chris Harris,130,New Zealand,Australia,M. A. Chidambaram Stadium,Madras[f],1996
Mark Waugh,110,Australia,New Zealand,M. A. Chidambaram Stadium,Madras[f],1996
Aravinda de Silva,107,Sri Lanka,Australia,Gaddafi Stadium,Lahore,1996
Rahul Dravid,104,India,Kenya,County Ground,Bristol,1999
Sachin Tendulkar,140,India,Kenya,County Ground,Bristol,1999
Sourav Ganguly,183,India,Sri Lanka,County Ground,Taunton,1999
Rahul Dravid,145,India,Sri Lanka,County Ground,Taunton,1999
Ajay Jadeja,100,India,Australia,The Oval,London,1999
Mark Waugh,104,Australia,Zimbabwe,Lord's Cricket Ground,London,1999
Neil Johnson,132,Zimbabwe,Australia,Lord's Cricket Ground,London,1999
Saeed Anwar,103,Pakistan,Zimbabwe,The Oval,London,1999
Herschelle Gibbs,101,South Africa,Australia,Headingley Stadium,Leeds,1999
Steve Waugh,120,Australia,South Africa,Headingley Stadium,Leeds,1999
Saeed Anwar,113,Pakistan,New Zealand,Old Trafford Cricket Ground,Manchester,1999
Brian Lara,116,West Indies,South Africa,Newlands Cricket Ground,Cape Town,2003
Craig Wishart,172,Zimbabwe,Namibia,Harare Sports Club,Harare,2003
Sanath Jayasuriya,120,Sri Lanka,New Zealand,Chevrolet Park,Bloemfontein,2003
Scott Styris,141,New Zealand,Sri Lanka,Chevrolet Park,Bloemfontein,2003
Andrew Symonds,143,Australia,Pakistan,Wanderers Stadium,Johannesburg,2003
Herschelle Gibbs,143,South Africa,New Zealand,Wanderers Stadium,Johannesburg,2003
Stephen Fleming,134,New Zealand,South Africa,Wanderers Stadium,Johannesburg,2003
John Davison,111,Canada,West Indies,SuperSport Park,Centurion,2003
Sachin Tendulkar,152,India,Namibia,City Oval,Pietermaritzburg,2003
Sourav Ganguly,112,India,Namibia,City Oval,Pietermaritzburg,2003
Saeed Anwar,101,Pakistan,India,SuperSport Park,Centurion,2003
Klaas-Jan van Noortwijk,134,Netherlands,Namibia,Chevrolet Park,Bloemfontein,2003
Feiko Kloppenburg,121,Netherlands,Namibia,Chevrolet Park,Bloemfontein,2003
Marvan Atapattu,124,Sri Lanka,South Africa,Kingsmead Cricket Ground,Durban,2003
Chris Gayle,119,West Indies,Kenya,De Beers Diamond Oval,Kimberley,2003
Ricky Ponting,114,Australia,Sri Lanka,SuperSport Park,Centurion,2003
Sourav Ganguly,107,India,Kenya,Newlands Cricket Ground,Cape Town,2003
Nathan Astle,102,New Zealand,Zimbabwe,Chevrolet Park,Bloemfontein,2003
Marvan Atapattu,103,Sri Lanka,Zimbabwe,Buffalo Park,East London,2003
Sourav Ganguly,111,India,Kenya,Kingsmead Cricket Ground,Durban,2003
Ricky Ponting,140,Australia,India,Wanderers Stadium,Johannesburg,2003
Ricky Ponting,113,Australia,Scotland,Warner Park Sporting Complex,Basseterre,2007
Jeremy Bray,115,Ireland,Zimbabwe,Sabina Park,Kingston,2007
Jacques Kallis,128,South Africa,Netherlands,Warner Park Sporting Complex,Basseterre,2007
Brad Hodge,123,Australia,Netherlands,Warner Park Sporting Complex,Basseterre,2007
Virender Sehwag,114,India,Bermuda,Queens Park Oval,Port of Spain,2007
Sanath Jayasuriya,109,Sri Lanka,Bangladesh,Queens Park Oval,Port of Spain,2007
Imran Nazir,160,Pakistan,Zimbabwe,Sabina Park,Kingston,2007
Lou Vincent,101,New Zealand,Canada,Beausejour Stadium,Gros Islet,2007
Shivnarine Chanderpaul,102,West Indies,Ireland,Sabina Park,Kingston,2007
Matthew Hayden,101,Australia,South Africa,Warner Park Sporting Complex,Basseterre,2007
Matthew Hayden,158,Australia,West Indies,Sir Vivian Richards Stadium,North Sound,2007
Sanath Jayasuriya,115,Sri Lanka,West Indies,Providence Stadium,Providence,2007
Stephen Fleming,102,New Zealand,Bangladesh,Sir Vivian Richards Stadium,North Sound,2007
Kevin Pietersen,104,England,Australia,Sir Vivian Richards Stadium,North Sound,2007
AB de Villiers,146,South Africa,West Indies,National Cricket Stadium,St. George's,2007
Scott Styris,111,New Zealand,Sri Lanka,National Cricket Stadium,St. George's,2007
Matthew Hayden,103,Australia,New Zealand,National Cricket Stadium,St. George's,2007
Kevin Pietersen,100,England,West Indies,Kensington Oval,Bridgetown,2007
Mahela Jayawardene,115,Sri Lanka,New Zealand,Sabina Park,Kingston,2007
Adam Gilchrist,149,Australia,Sri Lanka,Kensington Oval,Bridgetown,2007
Virender Sehwag,175,India,Bangladesh,Sher-e-Bangla Cricket Stadium,Dhaka,2011
Virat Kohli,100,India,Bangladesh,Sher-e-Bangla Cricket Stadium,Dhaka,2011
Mahela Jayawardene,100,Sri Lanka,Canada,Hambantota Cricket Stadium,Hambantota,2011
Ryan ten Doeschate,119,Netherlands,England,Vidarbha Cricket Association Stadium,Nagpur,2011
AB de Villiers,107,South Africa,West Indies,Feroz Shah Kotla Ground,Delhi,2011
Sachin Tendulkar,120,India,England,Chinnaswamy Stadium,Bangalore,2011
Andrew Strauss,158,England,India,Chinnaswamy Stadium,Bangalore,2011
Kevin O'Brien,113,Ireland,England,Chinnaswamy Stadium,Bangalore,2011
Hashim Amla,113,South Africa,Netherlands,Punjab Cricket Association Stadium,Mohali,2011
AB de Villiers,134,South Africa,Netherlands,Punjab Cricket Association Stadium,Mohali,2011
Ross Taylor,131,New Zealand,Pakistan,Pallekele International Cricket Stadium,Kandy,2011
Upul Tharanga,133,Sri Lanka,Zimbabwe,Pallekele International Cricket Stadium,Kandy,2011
Tillakaratne Dilshan,144,Sri Lanka,Zimbabwe,Pallekele International Cricket Stadium,Kandy,2011
Devon Smith,107,West Indies,Ireland,Punjab Cricket Association Stadium,Mohali,2011
Sachin Tendulkar,111,India,South Africa,Vidarbha Cricket Association Stadium,Nagpur,2011
Brendon McCullum,101,New Zealand,Canada,Wankhede Stadium,Mumbai,2011
Kumar Sangakkara,111,Sri Lanka,New Zealand,Wankhede Stadium,Mumbai,2011
Ryan ten Doeschate,106,Netherlands,Ireland,Eden Gardens,Kolkata[g],2011
Paul Stirling,101,Ireland,Netherlands,Eden Gardens,Calcutta[g],2011
Yuvraj Singh,113,India,West Indies,M. A. Chidambaram Stadium,Chennai,2011
Ricky Ponting,104,Australia,India,Sardar Patel Stadium,Ahmedabad,2011
Tillakaratne Dilshan,108,Sri Lanka,England,Premadasa Stadium,Colombo,2011
Upul Tharanga,102,Sri Lanka,England,Premadasa Stadium,Colombo,2011
Mahela Jayawardene,103,Sri Lanka,India,Wankhede Stadium,Mumbai,2011
Aaron Finch,135,Australia,England,Melbourne Cricket Ground,Melbourne,2015
Virat Kohli,107,India,Pakistan,Adelaide Oval,Adelaide,2015
JP Duminy,115,South Africa,Zimbabwe,Seddon Park,Hamilton,2015
David Miller,138,South Africa,Zimbabwe,Seddon Park,Hamilton,2015
