Match ID,Year,Innings,Country,Player,Wicket,R,BF,4s,6s
0067,1975,Innings 1,England,John Jameson,c  Venkataraghavan b  Amarnath,21,42,2,0
0067,1975,Innings 1,England,Dennis Amiss,b  Madan Lal,137,147,18,0
0067,1975,Innings 1,England,Keith Fletcher,b  Abid Ali,68,107,4,1
0067,1975,Innings 1,England,Tony Greig,lbw b  Abid Ali,4,8,0,0
0067,1975,Innings 1,England,Michael Denness,not out,37,31,2,1
0067,1975,Innings 1,England,Chris Old,not out,51,30,4,2
0067,1975,Innings 1,England,Barry Wood,DNB,0,0,0,0
0067,1975,Innings 1,England,Alan Knott,DNB,0,0,0,0
0067,1975,Innings 1,England,John Snow,DNB,0,0,0,0
0067,1975,Innings 1,England,Peter Lever,DNB,0,0,0,0
0067,1975,Innings 1,England,Geoffrey Arnold,DNB,0,0,0,0
0067,1975,Innings 2,India,Sunil Gavaskar,not out,36,174,1,0
0067,1975,Innings 2,India,Eknath Solkar,c  Lever b  Arnold,8,34,0,0
0067,1975,Innings 2,India,Anshuman Gaekwad,c Knott b  Lever,22,46,2,0
0067,1975,Innings 2,India,Gundappa Viswanath,c  Fletcher b  Old,37,59,5,0
0067,1975,Innings 2,India,Brijesh Patel,not out,16,57,0,0
0067,1975,Innings 2,India,Mohinder Amarnath,DNB,0,0,0,0
0067,1975,Innings 2,India,Farokh Engineer,DNB,0,0,0,0
0067,1975,Innings 2,India,Syed Abid Ali,DNB,0,0,0,0
0067,1975,Innings 2,India,Sharma Madan Lal,DNB,0,0,0,0
0067,1975,Innings 2,India,Srinivas Venkataraghavan,DNB,0,0,0,0
0067,1975,Innings 2,India,Karsan Ghavri,DNB,0,0,0,0
0068,1975,Innings 1,New Zealand,Glenn Turner,not out,171,201,16,2
0068,1975,Innings 1,New Zealand,John Morrison,c & b  Nana,14,37,0,0
0068,1975,Innings 1,New Zealand,Geoff Howarth,b  Mehmood Quaraishy,20,40,2,0
0068,1975,Innings 1,New Zealand,John Parker,c  Zulfiqar Ali b  Sethi,66,68,7,0
0068,1975,Innings 1,New Zealand,Brian Hastings,c  Sethi b  Zulfiqar Ali,8,7,1,0
0068,1975,Innings 1,New Zealand,Kenneth Wadsworth,b  Nagenda,10,7,0,1
0068,1975,Innings 1,New Zealand,Sir Richard Hadlee,not out,6,4,0,0
0068,1975,Innings 1,New Zealand,Brian McKechnie,DNB,0,0,0,0
0068,1975,Innings 1,New Zealand,Dayle Hadlee,DNB,0,0,0,0
0068,1975,Innings 1,New Zealand,Hedley Howarth,DNB,0,0,0,0
0068,1975,Innings 1,New Zealand,Richard Collinge,DNB,0,0,0,0
0068,1975,Innings 2,East Africa,Frasat Ali,st Wadsworth b H J Howarth,45,123,1,1
0068,1975,Innings 2,East Africa,Samuel Walusimbi,b D R Hadlee,15,46,1,0
0068,1975,Innings 2,East Africa,Ramesh Sethi,run out,1,3,0,0
0068,1975,Innings 2,East Africa,Shiraz Sumar,b D R Hadlee,4,11,0,0
0068,1975,Innings 2,East Africa,Jawahir Shah,c & b H J Howarth,5,17,0,0
0068,1975,Innings 2,East Africa,Harilal Shah,lbw b H J Howarth,0,1,0,0
0068,1975,Innings 2,East Africa,Mehmood Quaraishy,not out,16,88,0,0
0068,1975,Innings 2,East Africa,Zulfiqar Ali,b D R Hadlee,30,49,4,0
0068,1975,Innings 2,East Africa,Hamish McLeod,b  Collinge,5,8,0,0
0068,1975,Innings 2,East Africa,Parbhu Nana,not out,1,15,0,0
0068,1975,Innings 2,East Africa,John Nagenda,DNB,0,0,0,0
0069,1975,Innings 1,Australia,Alan Turner,c  Mushtaq Mohammad b  Asif Iqbal,46,54,4,0
0069,1975,Innings 1,Australia,Richard McCosker,c Wasim Bari b  Naseer Malik,25,76,2,0
0069,1975,Innings 1,Australia,Ian Chappell,c  Wasim Raja b  Sarfraz Nawaz,28,30,5,0
0069,1975,Innings 1,Australia,Greg Chappell,c  Asif Iqbal b  Imran Khan,45,56,5,0
0069,1975,Innings 1,Australia,Doug Walters,c  Sarfraz Nawaz b  Naseer Malik,2,13,0,0
0069,1975,Innings 1,Australia,Ross Edwards,not out,80,94,6,0
0069,1975,Innings 1,Australia,Rod Marsh,c Wasim Bari b  Imran Khan,1,5,0,0
0069,1975,Innings 1,Australia,Max Walker,b  Asif Masood,18,28,2,0
0069,1975,Innings 1,Australia,Jeff Thomson,not out,20,14,2,1
0069,1975,Innings 1,Australia,Ashley Mallett,DNB,0,0,0,0
0069,1975,Innings 1,Australia,Dennis Lillee,DNB,0,0,0,0
0069,1975,Innings 2,Pakistan,Sadiq Mohammad,b  Lillee,4,12,0,0
0069,1975,Innings 2,Pakistan,Majid Khan,c Marsh b  Mallett,65,76,11,0
0069,1975,Innings 2,Pakistan,Zaheer Abbas,c  Turner b  Thomson,8,10,2,0
0069,1975,Innings 2,Pakistan,Mushtaq Mohammad,c G S Chappell b  Walters,8,32,0,0
0069,1975,Innings 2,Pakistan,Asif Iqbal,b  Lillee,53,95,8,0
0069,1975,Innings 2,Pakistan,Wasim Raja,c  Thomson b  Walker,31,57,4,0
0069,1975,Innings 2,Pakistan,Imran Khan,c  Turner b  Walker,9,19,1,0
0069,1975,Innings 2,Pakistan,Sarfraz Nawaz,c Marsh b  Lillee,0,2,0,0
0069,1975,Innings 2,Pakistan,Wasim Bari,c Marsh b  Lillee,2,18,0,0
0069,1975,Innings 2,Pakistan,Asif Masood,c  Walker b  Lillee,6,7,1,0
0069,1975,Innings 2,Pakistan,Naseer Malik,not out,0,13,0,0
0070,1975,Innings 1,Sri Lanka,Ranjit Fernando,c Murray b  Julien,4,6,0,0
0070,1975,Innings 1,Sri Lanka,Bandula Warnapura,c Murray b  Boyce,8,49,2,0
0070,1975,Innings 1,Sri Lanka,Anura Tennekoon,c Murray b  Julien,0,3,0,0
0070,1975,Innings 1,Sri Lanka,Peter Heyn,c  Lloyd b  Roberts,2,16,0,0
0070,1975,Innings 1,Sri Lanka,Michael Tissera,c  Kallicharran b  Julien,14,36,1,0
0070,1975,Innings 1,Sri Lanka,Duleep Mendis,c Murray b  Boyce,8,12,1,0
0070,1975,Innings 1,Sri Lanka,Anura Ranasinghe,b  Boyce,0,2,0,0
0070,1975,Innings 1,Sri Lanka,Mevan Pieris,c  Lloyd b  Julien,3,12,0,0
0070,1975,Innings 1,Sri Lanka,Antony Opatha,b  Roberts,11,18,1,0
0070,1975,Innings 1,Sri Lanka,Somachandra De Silva,c  Lloyd b  Holder,21,50,2,0
0070,1975,Innings 1,Sri Lanka,Lalith Kaluperuma,not out,6,23,0,0
0070,1975,Innings 2,West Indies,Roy Fredericks,c  Warnapura b  De Silva,33,42,4,0
0070,1975,Innings 2,West Indies,Deryck Murray,not out,30,44,2,1
0070,1975,Innings 2,West Indies,Alvin Kallicharran,not out,19,39,0,0
0070,1975,Innings 2,West Indies,Rohan Kanhai,DNB,0,0,0,0
0070,1975,Innings 2,West Indies,Clive Lloyd,DNB,0,0,0,0
0070,1975,Innings 2,West Indies,Sir Viv Richards,DNB,0,0,0,0
0070,1975,Innings 2,West Indies,Bernard Julien,DNB,0,0,0,0
0070,1975,Innings 2,West Indies,Keith Boyce,DNB,0,0,0,0
0070,1975,Innings 2,West Indies,Vanburn Holder,DNB,0,0,0,0
0070,1975,Innings 2,West Indies,Andy Roberts,DNB,0,0,0,0
0070,1975,Innings 2,West Indies,Lance Gibbs,DNB,0,0,0,0
0071,1975,Innings 1,England,Dennis Amiss,b  Collinge,16,18,3,0
0071,1975,Innings 1,England,John Jameson,c Wadsworth b  Collinge,11,31,0,0
0071,1975,Innings 1,England,Keith Fletcher,run out,131,147,13,0
0071,1975,Innings 1,England,Frank Hayes,lbw b R J Hadlee,34,80,5,0
0071,1975,Innings 1,England,Michael Denness,c  Morrison b D R Hadlee,37,52,1,1
0071,1975,Innings 1,England,Tony Greig,b D R Hadlee,9,19,0,0
0071,1975,Innings 1,England,Chris Old,not out,20,16,0,1
0071,1975,Innings 1,England,Alan Knott,DNB,0,0,0,0
0071,1975,Innings 1,England,Derek Underwood,DNB,0,0,0,0
0071,1975,Innings 1,England,Geoffrey Arnold,DNB,0,0,0,0
0071,1975,Innings 1,England,Peter Lever,DNB,0,0,0,0
0071,1975,Innings 2,New Zealand,John Morrison,c  Old b  Underwood,55,85,6,1
0071,1975,Innings 2,New Zealand,Glenn Turner,b  Lever,12,34,1,0
0071,1975,Innings 2,New Zealand,Barry Hadlee,b  Greig,19,77,1,0
0071,1975,Innings 2,New Zealand,John Parker,b  Greig,1,8,0,0
0071,1975,Innings 2,New Zealand,Brian Hastings,c  Underwood b  Old,10,26,1,0
0071,1975,Innings 2,New Zealand,Kenneth Wadsworth,b  Arnold,25,24,3,0
0071,1975,Innings 2,New Zealand,Sir Richard Hadlee,b  Old,0,6,0,0
0071,1975,Innings 2,New Zealand,Brian McKechnie,c  Underwood b  Greig,27,50,4,0
0071,1975,Innings 2,New Zealand,Dayle Hadlee,c  Arnold b  Greig,20,42,2,0
0071,1975,Innings 2,New Zealand,Hedley Howarth,not out,1,7,0,0
0071,1975,Innings 2,New Zealand,Richard Collinge,b  Underwood,6,6,0,1
0072,1975,Innings 1,East Africa,Frasat Ali,b  Abid Ali,12,36,1,0
0072,1975,Innings 1,East Africa,Samuel Walusimbi,lbw b  Abid Ali,16,50,1,0
0072,1975,Innings 1,East Africa,Praful Mehta,run out,12,41,0,0
0072,1975,Innings 1,East Africa,Yunus Badat,b  Bedi,1,4,0,0
0072,1975,Innings 1,East Africa,Jawahir Shah,b  Amarnath,37,84,5,0
0072,1975,Innings 1,East Africa,Harilal Shah,c Engineer b  Amarnath,0,2,0,0
0072,1975,Innings 1,East Africa,Ramesh Sethi,c  Gaekwad b  Madan Lal,23,80,2,0
0072,1975,Innings 1,East Africa,Mehmood Quaraishy,run out,6,25,0,0
0072,1975,Innings 1,East Africa,Zulfiqar Ali,not out,2,5,0,0
