Match ID,Year,Innings,Country,Player,O,M,R,W
0067,1975,Innings 1,India,Sharma Madan Lal,12,1,64,1
0067,1975,Innings 1,India,Mohinder Amarnath,12,2,60,1
0067,1975,Innings 1,India,Syed Abid Ali,12,0,58,2
0067,1975,Innings 1,India,Karsan Ghavri,11,1,83,0
0067,1975,Innings 1,India,Srinivas Venkataraghavan,12,0,41,0
0067,1975,Innings 1,India,Eknath Solkar,1,0,12,0
0067,1975,Innings 2,England,John Snow,12,2,24,0
0067,1975,Innings 2,England,Geoffrey Arnold,10,2,20,1
0067,1975,Innings 2,England,Chris Old,12,4,26,1
0067,1975,Innings 2,England,Tony Greig,9,1,26,0
0067,1975,Innings 2,England,Barry Wood,5,2,4,0
0067,1975,Innings 2,England,Peter Lever,10,0,16,1
0067,1975,Innings 2,England,John Jameson,2,1,3,0
0068,1975,Innings 1,East Africa,John Nagenda,9,1,50,1
0068,1975,Innings 1,East Africa,Frasat Ali,9,0,50,0
0068,1975,Innings 1,East Africa,Parbhu Nana,12,2,34,1
0068,1975,Innings 1,East Africa,Ramesh Sethi,10,1,51,1
0068,1975,Innings 1,East Africa,Zulfiqar Ali,12,0,71,1
0068,1975,Innings 1,East Africa,Mehmood Quaraishy,8,0,39,1
0068,1975,Innings 2,New Zealand,Richard Collinge,12,5,23,1
0068,1975,Innings 2,New Zealand,Sir Richard Hadlee,12,6,10,0
0068,1975,Innings 2,New Zealand,Brian McKechnie,12,2,39,0
0068,1975,Innings 2,New Zealand,Dayle Hadlee,12,1,21,3
0068,1975,Innings 2,New Zealand,Hedley Howarth,12,3,29,3
0069,1975,Innings 1,Pakistan,Naseer Malik,12,2,37,2
0069,1975,Innings 1,Pakistan,Asif Masood,12,0,50,1
0069,1975,Innings 1,Pakistan,Sarfraz Nawaz,12,0,63,1
0069,1975,Innings 1,Pakistan,Asif Iqbal,12,0,58,1
0069,1975,Innings 1,Pakistan,Imran Khan,10,0,44,2
0069,1975,Innings 1,Pakistan,Wasim Raja,2,0,13,0
0069,1975,Innings 2,Australia,Dennis Lillee,12,2,34,5
0069,1975,Innings 2,Australia,Jeff Thomson,8,2,25,1
0069,1975,Innings 2,Australia,Max Walker,12,3,32,2
0069,1975,Innings 2,Australia,Ashley Mallett,12,1,49,1
0069,1975,Innings 2,Australia,Doug Walters,6,0,29,1
0069,1975,Innings 2,Australia,Greg Chappell,3,0,17,0
0070,1975,Innings 1,West Indies,Andy Roberts,12,5,16,2
0070,1975,Innings 1,West Indies,Keith Boyce,8,1,22,3
0070,1975,Innings 1,West Indies,Bernard Julien,12,3,20,4
0070,1975,Innings 1,West Indies,Lance Gibbs,4,0,17,0
0070,1975,Innings 1,West Indies,Vanburn Holder,1,0,2,1
0070,1975,Innings 2,Sri Lanka,Antony Opatha,4,0,19,0
0070,1975,Innings 2,Sri Lanka,Somachandra De Silva,8,1,33,1
0070,1975,Innings 2,Sri Lanka,Mevan Pieris,2,0,13,0
0070,1975,Innings 2,Sri Lanka,Lalith Kaluperuma,6,1,17,0
0071,1975,Innings 1,New Zealand,Richard Collinge,12,2,43,2
0071,1975,Innings 1,New Zealand,Sir Richard Hadlee,12,2,66,1
0071,1975,Innings 1,New Zealand,Dayle Hadlee,12,1,55,2
0071,1975,Innings 1,New Zealand,Brian McKechnie,12,2,38,0
0071,1975,Innings 1,New Zealand,Hedley Howarth,12,2,56,0
0071,1975,Innings 2,England,Geoffrey Arnold,12,3,35,1
0071,1975,Innings 2,England,Peter Lever,12,0,37,1
0071,1975,Innings 2,England,Chris Old,12,2,29,2
