Country,1975,1979,1983,1987,1992,1996,1999,2003,2007,2011,2015,2019
Australia,1,0,1,2,2,4,2,3,6,1,4,1
Bangladesh,0,0,0,0,0,0,0,0,0,0,2,1
Canada,0,0,0,0,0,0,0,1,0,0,0,0
England,2,0,2,1,0,1,0,0,2,1,2,3
India,0,0,1,1,0,3,5,4,1,5,5,2
Ireland,0,0,0,0,0,0,0,0,1,2,2,0
Netherlands,0,0,0,0,0,0,0,2,0,2,0,0
New Zealand,2,0,0,0,1,2,0,3,3,2,2,0
Pakistan,0,0,2,3,3,1,2,1,1,0,1,0
Scotland,0,0,0,0,0,0,0,0,0,0,1,0
South Africa,0,0,0,0,0,2,1,1,2,3,5,0
Sri Lanka,0,0,0,0,0,2,0,3,3,7,8,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,1,0
West Indies,1,2,2,3,1,1,0,2,1,1,3,0
Zimbabwe,0,0,0,1,1,0,1,1,0,0,2,0
