Country,1975,1979,1983,1987,1992,1996,1999,2003,2007,2011,2015,2019
Afghanistan,0,0,1,0,0,0,0,0,0,0,3,2
Australia,4,2,6,4,3,4,9,15,16,5,10,4
Bangladesh,0,0,0,0,0,0,1,2,5,3,5,1
Bermuda,0,0,0,0,0,0,0,0,1,0,0,0
Canada,0,0,0,0,0,0,0,4,1,4,0,0
East Africa,1,0,0,0,0,0,0,0,0,0,0,0
England,4,4,4,6,8,3,2,6,6,6,2,7
India,1,1,11,6,3,6,5,9,2,7,10,3
Ireland,0,0,0,0,0,0,0,0,1,3,2,0
Kenya,0,0,0,0,0,4,1,7,0,2,0,0
Namibia,0,0,0,0,0,0,0,3,0,0,0,0
Netherlands,0,0,0,0,0,1,0,4,1,3,0,0
New Zealand,4,4,5,1,7,3,7,7,10,10,8,5
Pakistan,2,7,4,9,7,4,13,5,3,8,7,3
Scotland,0,0,0,0,0,0,2,0,0,0,5,0
South Africa,0,0,0,0,7,3,8,3,6,11,8,1
Sri Lanka,1,2,2,1,2,1,4,12,13,8,5,2
United Arab Emirates,0,0,0,0,0,2,0,0,0,0,3,0
West Indies,6,6,7,6,3,5,7,3,3,10,8,3
Zimbabwe,0,0,3,0,6,3,6,1,2,3,4,0
