Country,1975,1979,1983,1987,1992,1996,1999,2003,2007,2011,2015,2019
Afghanistan,0,0,6,0,0,0,0,0,0,0,11,4
Australia,12,9,14,25,21,27,44,49,58,23,33,9
Bangladesh,0,0,0,0,0,0,10,12,24,16,16,6
Bermuda,0,0,0,0,0,0,0,0,13,0,0,0
Canada,0,9,0,0,0,0,0,16,3,10,0,0
East Africa,7,0,0,0,0,0,0,0,0,0,0,0
England,15,21,30,25,31,15,26,11,30,14,20,5
India,15,1,18,31,17,24,28,43,9,32,34,10
Ireland,0,0,0,0,0,0,0,0,26,12,8,0
Kenya,0,0,0,0,0,13,12,27,7,18,0,0
Namibia,0,0,0,0,0,0,0,20,0,0,0,0
Netherlands,0,0,0,0,0,13,0,15,11,16,0,0
New Zealand,10,15,8,13,36,9,30,32,44,30,35,18
Pakistan,9,12,17,17,36,32,27,7,4,28,19,5
Scotland,0,0,0,0,0,0,11,0,6,0,15,0
South Africa,0,0,0,0,33,21,32,28,45,21,33,4
Sri Lanka,8,4,9,15,9,27,9,35,37,32,27,6
United Arab Emirates,0,0,0,0,0,11,0,0,0,0,12,0
West Indies,19,17,31,15,23,15,21,15,21,19,27,8
Zimbabwe,0,0,11,16,22,11,19,18,8,13,7,0
