Country,1975,1979,1983,1987,1992,1996,1999,2003,2007,2011,2015,2019
Afghanistan,0,0,0,0,0,0,0,0,0,0,5,2
Australia,8,1,8,12,9,12,13,20,19,11,16,9
Bangladesh,0,0,0,0,0,0,3,1,5,4,11,4
Bermuda,0,0,0,0,0,0,0,0,1,0,0,0
Canada,0,0,0,0,0,0,0,4,3,5,0,0
East Africa,0,0,0,0,0,0,0,0,0,0,0,0
England,7,5,9,12,13,7,6,7,10,13,7,9
India,3,2,6,13,8,10,13,17,6,18,13,4
Ireland,0,0,0,0,0,0,0,0,6,7,11,0
Kenya,0,0,0,0,0,4,7,7,4,6,0,0
Namibia,0,0,0,0,0,0,0,3,0,0,0,0
Netherlands,0,0,0,0,0,3,0,4,2,5,0,0
New Zealand,5,4,6,8,16,9,6,7,17,9,13,4
Pakistan,8,6,11,11,13,10,9,3,2,10,11,4
Scotland,0,0,0,0,0,0,2,0,1,0,6,0
South Africa,0,0,1,0,10,8,12,9,18,10,16,3
Sri Lanka,2,4,8,6,7,10,5,9,22,14,13,2
United Arab Emirates,0,0,0,0,0,2,0,0,0,0,6,0
West Indies,8,7,10,11,11,5,4,9,11,7,11,3
Zimbabwe,0,0,6,7,5,2,5,9,4,7,10,0
