Country,1975,1979,1983,1987,1992,1996,1999,2003,2007,2011,2015,2019
Afghanistan,0,0,11,0,0,0,0,0,0,0,12,4
Australia,38,23,27,22,25,25,46,46,26,19,14,10
Bangladesh,0,0,0,0,0,0,20,8,27,12,6,1
Bermuda,0,0,0,0,0,0,0,0,3,0,0,0
Canada,0,7,0,0,0,0,0,13,3,9,0,0
East Africa,10,0,0,0,0,0,0,0,0,0,0,0
England,41,51,61,24,36,22,19,25,15,19,10,5
India,33,19,44,14,14,13,21,30,9,12,23,2
Ireland,0,0,0,0,0,0,0,0,24,8,8,0
Kenya,0,0,0,0,0,16,14,28,5,9,0,0
Namibia,0,0,0,0,0,0,0,10,0,0,0,0
Netherlands,0,0,0,0,0,4,0,9,11,14,0,0
New Zealand,40,23,49,17,32,17,23,29,32,23,30,6
Pakistan,21,37,31,14,24,15,27,10,9,24,13,3
Scotland,0,0,0,0,0,0,13,0,2,0,6,0
South Africa,0,0,0,0,30,17,37,31,29,17,20,5
Sri Lanka,8,6,32,12,16,9,13,30,39,14,3,1
United Arab Emirates,0,0,0,0,0,10,0,0,0,0,4,0
West Indies,33,18,61,15,21,31,24,14,24,14,19,3
Zimbabwe,0,0,33,8,28,18,14,14,14,13,12,0
