Country,1975,1979,1983,1987,1992,1996,1999,2003,2007,2011,2015,2019
Afghanistan,0,0,266,0,0,0,0,0,0,0,1386,568
Australia,976,494,1257,1754,1461,1513,1989,1760,1898,1251,1554,1079
Bangladesh,0,0,0,0,0,0,794,820,1641,1248,1641,936
Bermuda,0,0,0,0,0,0,0,0,816,0,0,0
Canada,0,273,0,0,0,0,0,996,676,1560,0,0
East Africa,688,0,0,0,0,0,0,0,0,0,0,0
England,460,808,1397,1742,1690,1300,986,915,1867,1742,1318,808
India,649,585,1531,1443,1300,1304,1749,1932,578,2218,1727,533
Ireland,0,0,0,0,0,0,0,0,1560,1563,1797,0
Kenya,0,0,0,0,0,1105,1160,1714,698,1347,0,0
Namibia,0,0,0,0,0,0,0,1758,0,0,0,0
Netherlands,0,0,0,0,0,1253,0,1296,831,1610,0,0
New Zealand,757,782,1315,1357,1701,1304,1591,1768,2123,1513,1817,536
Pakistan,643,724,1214,1526,1785,1221,1914,1031,468,1468,1671,733
Scotland,0,0,0,0,0,0,797,0,654,0,1466,0
South Africa,0,0,0,0,1638,1121,1697,1129,2051,1222,1730,857
Sri Lanka,702,357,1354,1606,1618,1173,1180,1983,1986,1563,1805,285
United Arab Emirates,0,0,0,0,0,1023,0,0,0,0,1500,0
West Indies,892,782,1452,1270,1513,1130,715,1025,2250,1219,1889,391
Zimbabwe,0,0,1238,1274,1692,898,1564,1423,760,1172,1826,0
