Player,Country,1975,1979,1983,1987,1992,1996,1999,2003,2007,2011,2015,2019
Martin Snedden,New Zealand,0,0,61,157,0,0,0,0,0,0,0,0
John Wright,New Zealand,0,166,83,173,71,0,0,0,0,0,0,0
Martin Crowe,New Zealand,0,0,202,222,456,0,0,0,0,0,0,0
Andrew Jones,New Zealand,0,0,0,94,322,0,0,0,0,0,0,0
Jeffrey Crowe,New Zealand,0,0,40,180,0,0,0,0,0,0,0,0
Dipak Patel,New Zealand,0,0,0,58,25,14,0,0,0,0,0,0
John Bracewell,New Zealand,0,0,41,39,0,0,0,0,0,0,0,0
Ian Smith,New Zealand,0,0,8,69,61,0,0,0,0,0,0,0
Stephen Boock,New Zealand,0,0,0,19,0,0,0,0,0,0,0,0
Ewen Chatfield,New Zealand,0,3,37,5,0,0,0,0,0,0,0,0
Willie Watson,New Zealand,0,0,0,24,5,0,0,0,0,0,0,0
Robin Brown,Zimbabwe,0,0,93,17,0,0,0,0,0,0,0,0
Ali Omarshah,Zimbabwe,0,0,26,80,160,0,0,0,0,0,0,0
David Houghton,Zimbabwe,0,0,176,226,165,0,0,0,0,0,0,0
Andrew Pycroft,Zimbabwe,0,0,71,174,50,0,0,0,0,0,0,0
Kevin Curran,Zimbabwe,0,0,212,75,0,0,0,0,0,0,0,0
Andrew Waller,Zimbabwe,0,0,0,125,192,159,0,0,0,0,0,0
Grant Paterson,Zimbabwe,0,0,99,24,0,0,0,0,0,0,0,0
Peter Rawson,Zimbabwe,0,0,24,56,0,0,0,0,0,0,0,0
Iain Butchart,Zimbabwe,0,0,82,98,60,0,0,0,0,0,0,0
Eddo Brandes,Zimbabwe,0,0,0,21,71,7,21,0,0,0,0,0
Athanasios Traicos,Zimbabwe,0,0,25,10,35,0,0,0,0,0,0,0
Mansoor Akhtar,Pakistan,0,0,9,99,0,0,0,0,0,0,0,0
Ramiz Raja,Pakistan,0,0,0,349,348,2,0,0,0,0,0,0
Saleem Malik,Pakistan,0,0,0,323,99,133,19,0,0,0,0,0
Javed Miandad,Pakistan,52,46,220,274,434,54,0,0,0,0,0,0
Ijaz Ahmed,Pakistan,0,0,0,129,14,197,176,0,0,0,0,0
Imran Khan,Pakistan,9,42,283,147,185,0,0,0,0,0,0,0
Wasim Akram,Pakistan,0,0,0,85,61,60,148,71,0,0,0,0
Saleem Yousuf,Pakistan,0,0,0,112,0,0,0,0,0,0,0,0
Abdul Qadir,Pakistan,0,0,62,56,0,0,0,0,0,0,0,0
Tausif Ahmed,Pakistan,0,0,0,1,0,0,0,0,0,0,0,0
Salim Jaffer,Pakistan,0,0,0,9,0,0,0,0,0,0,0,0
Graham Gooch,England,0,210,0,471,213,0,0,0,0,0,0,0
Chris Broad,England,0,0,0,67,0,0,0,0,0,0,0,0
Tim Robinson,England,0,0,0,142,0,0,0,0,0,0,0,0
Mike Gatting,England,0,0,83,354,0,0,0,0,0,0,0,0
Allan Lamb,England,0,0,278,299,79,0,0,0,0,0,0,0
Derek Pringle,England,0,0,0,20,30,0,0,0,0,0,0,0
John Emburey,England,0,0,0,96,0,0,0,0,0,0,0,0
Paul Downton,England,0,0,0,19,0,0,0,0,0,0,0,0
Phillip De Freitas,England,0,0,0,79,16,89,0,0,0,0,0,0
Neil Foster,England,0,0,0,42,0,0,0,0,0,0,0,0
Gladstone Small,England,0,0,0,3,5,0,0,0,0,0,0,0
Geoff Marsh,Australia,0,0,0,428,151,0,0,0,0,0,0,0
David Boon,Australia,0,0,0,447,368,0,0,0,0,0,0,0
Dean Jones,Australia,0,0,0,314,276,0,0,0,0,0,0,0
Allan Border,Australia,0,59,150,183,60,0,0,0,0,0,0,0
Steve Waugh,Australia,0,0,0,167,187,226,398,0,0,0,0,0
Simon O'Donnell,Australia,0,0,0,15,0,0,0,0,0,0,0,0
Gregory Dyer,Australia,0,0,0,50,0,0,0,0,0,0,0,0
Peter Taylor,Australia,0,0,0,17,17,0,0,0,0,0,0,0
Craig McDermott,Australia,0,0,0,34,9,0,0,0,0,0,0,0
Tim May,Australia,0,0,0,16,0,0,0,0,0,0,0,0
Bruce Reid,Australia,0,0,0,1,9,0,0,0,0,0,0,0
Malcolm Jarvis,Zimbabwe,0,0,0,9,28,0,0,0,0,0,0,0
Desmond Haynes,West Indies,0,144,240,219,251,0,0,0,0,0,0,0
Carlisle Best,West Indies,0,0,0,23,0,0,0,0,0,0,0,0
Richie Richardson,West Indies,0,0,0,271,132,236,0,0,0,0,0,0
Sir Viv Richards,West Indies,38,217,367,391,0,0,0,0,0,0,0,0
Gus Logie,West Indies,0,0,0,181,101,0,0,0,0,0,0,0
Roger Harper,West Indies,0,0,0,37,3,78,0,0,0,0,0,0
Carl Hooper,West Indies,0,0,0,42,120,0,0,54,0,0,0,0
Jeff Dujon,West Indies,0,0,53,59,0,0,0,0,0,0,0,0
Winston Benjamin,West Indies,0,0,0,15,54,0,0,0,0,0,0,0
