Country,1975,1979,1983,1987,1992,1996,1999,2003,2007,2011,2015,2019
Sri Lanka,12,10,32,28,36,26,28,78,84,65,49,9
England,29,40,50,48,57,36,39,42,53,43,34,27
Australia,35,21,43,56,42,49,72,96,97,43,73,31
Zimbabwe,0,0,28,26,44,23,45,34,21,32,30,0
West Indies,39,36,63,39,47,38,42,38,53,51,51,20
New Zealand,26,32,45,25,55,33,46,55,72,60,75,29
Pakistan,26,33,41,51,60,43,77,39,24,67,51,22
India,17,6,68,48,38,40,58,82,21,69,72,17
Bangladesh,0,0,0,0,0,0,24,18,46,36,38,21
South Africa,0,0,0,0,57,40,64,35,66,65,67,18
Afghanistan,0,0,0,0,0,0,0,0,0,0,33,15
Kenya,0,0,0,0,0,26,17,58,16,23,0,0
Netherlands,0,0,0,0,0,18,0,39,18,29,0,0
Canada,0,6,0,0,0,0,0,32,14,43,0,0
Ireland,0,0,0,0,0,0,0,0,48,40,33,0
United Arab Emirates,0,0,0,0,0,22,0,0,0,0,30,0
Scotland,0,0,0,0,0,0,24,0,11,0,40,0
Bermuda,0,0,0,0,0,0,0,0,14,0,0,0
Namibia,0,0,0,0,0,0,0,30,0,0,0,0
East Africa,10,0,0,0,0,0,0,0,0,0,0,0
