Player,Country,League,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
Robert Lewandowski,Poland,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 ,22 ,24 ,20 ,17 ,30 ,30 ,29 ,22 
Paco Alcácer,Spain,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 
Kai Havertz,Germany,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,3 ,17 
Luka Jović,Serbia,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 ,17 
Andrej Kramarić,Croatia,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,15 ,13 ,17 
Marco Reus,Germany,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 ,10 ,18 ,14 ,16 ,7 ,12 ,7 ,7 ,17 
Wout Weghorst,Netherlands,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 
Ishak Belfodil,Algeria,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,16 
Timo Werner,Germany,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,3 ,6 ,21 ,13 ,16 
Sébastien Haller,France,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 ,15 
Yussuf Poulsen,Denmark,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,4 ,15 
Jean-Philippe Mateta,France,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 
Kevin Volland,Germany,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 ,11 ,8 ,8 ,6 ,14 ,14 
Alassane Pléa,France,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 
Jadon Sancho,England,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,12 
Ondrej Duda,Slovakia,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,11 
Max Kruse,Germany,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,11 ,12 ,11 ,6 ,15 ,6 ,11 
Alfreð Finnbogason,Iceland,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 ,3 ,12 ,10 
Serge Gnabry,Germany,Bundesliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 ,10 ,10 
