Player,Country,League,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
Pierre-Emerick Aubameyang,Gabon,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 ,22 
Sadio Mané,Senegal,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 ,11 ,13 ,10 ,22 
Mohamed Salah,Egypt,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,32 ,22 
Kun Agüero,Argentina,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23 ,12 ,17 ,26 ,24 ,20 ,21 ,21 
Jamie Vardy,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,24 ,13 ,20 ,18 
Harry Kane,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,21 ,25 ,29 ,30 ,17 
Raheem Sterling,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,9 ,7 ,6 ,7 ,18 ,17 
Eden Hazard,Belgium,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 ,14 ,14 ,4 ,16 ,12 ,16 
Callum Wilson,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,6 ,8 ,14 
Raúl Jiménez,Mexico,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 
Alexandre Lacazette,France,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14 ,13 
Glenn Murray,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,7 ,3 ,0,12 ,13 
Paul Pogba,France,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,6 ,13 
Richarlison,Brazil,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,13 
Gylfi Sigurðsson,Iceland,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 ,3 ,5 ,7 ,11 ,9 ,4 ,13 
Ayoze Pérez,Spain,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 ,6 ,0,8 ,12 
Ashley Barnes,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,0,6 ,9 ,12 
Joshua King,Norway,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 ,16 ,8 ,12 
Romelu Lukaku,Belgium,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 ,15 ,10 ,18 ,25 ,16 ,12 
Luka Milivojević,Serbia,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,10 ,12 
Roberto Firmino,Brazil,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 ,11 ,15 ,12 
Heung-min Son,South Korea,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,14 ,12 ,12 
Aleksandar Mitrović,Serbia,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 ,0,1 ,11 
Salomón Rondón,Venezuela,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 ,8 ,7 ,11 
Marko Arnautović,Austria,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,1 ,11 ,6 ,11 ,10 
Gerard Deulofeu,Spain,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,0,2 ,0,1 ,10 
Lucas,Brazil,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 
Anthony Martial,France,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 ,4 ,9 ,10 
Marcus Rashford,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,5 ,7 ,10 
Leroy Sané,Germany,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,10 ,10 
Chris Wood,New Zealand,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,10 ,10 
Wilfried Zaha,Ivory Coast,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,2 ,7 ,9 ,10 
Troy Deeney,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 ,10 ,5 ,9 
Diogo Jota,Portugal,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 
Felipe Anderson,Brazil,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 
Christian Eriksen,Denmark,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 ,10 ,6 ,8 ,10 ,8 
Pedro,Spain,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 ,10 ,4 ,8 
Bernardo Silva,Portugal,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 ,7 
David Brooks,Wales,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 
Ryan Fraser,Scotland,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,5 ,7 
Gabriel Jesus,Brazil,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 ,13 ,7 
Andre Gray,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 ,5 ,7 
Javier Hernández,Mexico,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 ,10 ,10 ,4 ,0,0,0,8 ,7 
Danny Ings,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 ,2 ,0,1 ,7 
James Maddison,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 
Riyad Mahrez,Algeria,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,17 ,6 ,12 ,7 
James Ward-Prowse,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,2 ,4 ,3 ,7 
Michail Antonio,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 ,9 ,3 ,6 
Dominic Calvert-Lewin,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,4 ,6 
David Silva,Spain,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,6 ,4 ,7 ,12 ,2 ,4 ,9 ,6 
İlkay Gündoğan,Germany,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,4 ,6 
Ruben Loftus-Cheek,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,2 ,6 
Henrikh Mkhitaryan,Armenia,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,3 ,6 
Roberto Pereyra,Argentina,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,5 ,6 
Nathan Redmond,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,6 ,7 ,1 ,6 
André Schürrle,Germany,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 ,3 ,0,0,0,6 
Xherdan Shaqiri,Switzerland,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,4 ,8 ,6 
Andros Townsend,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,1 ,2 ,4 ,3 ,2 ,6 
Dele Alli,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 ,18 ,9 ,5 
Ryan Babel,Netherlands,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,3 ,4 ,1 ,0,0,0,0,0,0,0,5 
Michy Batshuayi,Belgium,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,2 ,5 
Camarasa,Spain,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 
Abdoulaye Doucouré,France,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,7 ,5 
Shane Duffy,Ireland,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 
Gonzalo Higuaín,Argentina,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 
Shane Long,Ireland,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,3 ,0,0,0,8 ,8 ,7 ,5 ,10 ,3 ,2 ,5 
James Milner,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,2 ,3 ,1 ,1 ,3 ,2 ,3 ,7 ,1 ,3 ,4 ,1 ,5 ,5 ,7 ,0,5 
Morata,Spain,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 ,5 
Mark Noble,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,3 ,3 ,2 ,4 ,0,4 ,3 ,2 ,7 ,3 ,4 ,5 
Mesut Özil,Germany,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,4 ,6 ,8 ,4 ,5 
Bobby Reid,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 
Theo Walcott,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,2 ,3 ,9 ,8 ,14 ,5 ,5 ,5 ,10 ,3 ,5 
Nathan Aké,Netherlands,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,3 ,2 ,4 
Souleymane Bamba,Ivory Coast,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 
Willy Boly,France,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 
Lucas Digne,France,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 
Matt Doherty,Ireland,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 
Demarai Gray,England,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,3 ,4 
Pierre-Emile Højbjerg,Denmark,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 
N'Golo Kanté,France,EPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,1 ,4 
