Player,Country,League,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
Lionel Messi,Argentina,La Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,6 ,14 ,10 ,23 ,34 ,31 ,50 ,46 ,28 ,43 ,26 ,37 ,34 ,36 
Karim Benzema,France,La Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 ,15 ,21 ,11 ,17 ,15 ,24 ,11 ,5 ,21 
Luis Suárez,Uruguay,La Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 ,40 ,29 ,25 ,21 
Iago Aspas,Spain,La Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 ,0,2 ,14 ,19 ,22 ,20 
Cristhian Stuani,Uruguay,La Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 ,9 ,7 ,6 ,12 ,0,0,21 ,19 
Wissam Ben Yedder,France,La Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 ,9 ,18 
Borja Iglesias,Spain,La Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17 
Antoine Griezmann,France,La Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 ,7 ,10 ,16 ,22 ,22 ,16 ,19 ,15 
Charles,Brazil,La Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12 ,3 ,12 ,3 ,8 ,14 
Mata,Spain,La Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,11 ,9 ,8 ,0,0,0,0,0,0,0,14 
Molina,Spain,La Liga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 ,13 ,9 ,0,1 ,0,7 ,14 
