Player,Country,League,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
Kylian Mbappé,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,15 ,13 ,33 
Nicolas Pépé,Ivory Coast,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,13 ,22 
Edinson Cavani,Uruguay,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 ,18 ,19 ,35 ,28 ,18 
Florian Thauvin,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 ,8 ,5 ,2 ,16 ,22 ,16 
Moussa Dembélé,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15 
Radamel Falcao,Colombia,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 ,2 ,0,21 ,18 ,15 
Neymar,Brazil,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 ,15 
Andy Delort,Algeria,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,12 ,5 ,5 ,14 
Jonathan Bamba,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,3 ,7 ,13 
Wahbi Khazri,Tunisia,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 ,6 ,9 ,5 ,0,9 ,13 
Ángel Di María,Argentina,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 ,6 ,11 ,12 
Emiliano Sala,Argentina,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 ,6 ,12 ,12 ,12 
Stéphane Bahoken,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,0,7 ,11 
Max Gradel,Ivory Coast,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 ,3 ,5 ,17 ,0,0,8 ,11 
Gaëtan Laborde,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 ,3 ,11 
M'Baye Niang,Senegal,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,2 ,0,4 ,0,0,0,0,11 
Memphis Depay,Netherlands,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,19 ,10 
François Kamano,Guinea,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,3 ,6 ,8 ,10 
Lebo Mothiba,South Africa,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,10 
Rémi Oudin,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 
Ludovic Ajorque,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 
Robert Berić,Slovenia,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,6 ,7 ,9 
Nabil Fekir,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,13 ,4 ,9 ,18 ,9 
Martin Terrier,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,3 ,9 
Marcus Thuram,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,9 
Mario Balotelli,Italy,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15 ,18 ,8 
Denis Bouanga,Gabon,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,8 
Rémy Cabella,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,3 ,7 ,14 ,0,5 ,2 ,8 ,8 
Kalifa Coulibaly,Mali,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,8 
Valère Germain,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,4 ,14 ,10 ,9 ,8 
Nuno Da Costa,Cape Verde,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,8 
Rafael Leão,Portugal,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 
Renaud Ripart,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 
Ismaïla Sarr,Senegal,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,5 ,8 
Houssem Aouar,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 ,7 
Hatem Ben Arfa,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,6 ,6 ,3 ,0,0,0,0,0,17 ,0,0,7 
Antonin Bobichon,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 
Jimmy Briand,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,3 ,9 ,7 ,8 ,5 ,6 ,9 ,1 ,6 ,0,7 ,12 ,11 ,7 
Mathieu Cafaro,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 
Maxwel Cornet,Ivory Coast,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 ,6 ,4 ,7 
Adrien Hunou,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,5 ,7 
Moussa Konaté,Senegal,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 ,7 
Loïc Rémy,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,11 ,14 ,16 ,12 ,1 ,0,0,0,0,0,7 
Bertrand Traoré,Burkina Faso,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 ,7 
Youcef Atal,Algeria,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 
Benjamin Bourigeaud,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,10 ,6 
Enzo Crivelli,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,3 ,10 ,3 ,6 
Florent Mollet,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 ,6 
Casimir Ninga,Chad,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 ,5 ,1 ,6 
Allan Saint-Maximin,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,3 ,6 
Téji Savanier,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 
Rachid Alioui,Morocco,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,0,0,0,0,5 
Pablo Chavarría,Argentina,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 ,0,0,0,5 
Loïs Diony,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 ,0,5 
Fayçal Fajr,Morocco,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 
Anthony Gonçalves,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 
Júlio Tavares,Cape Verde,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 ,12 ,5 
Kenny Lala,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,3 ,5 
Morgan Sanson,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,6 ,3 ,4 ,9 ,5 
Flavien Tait,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,4 ,5 
Adrien Thomasson,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,2 ,2 ,5 ,5 
Youri Tielemans,Belgium,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 
Majeed Waris,Ghana,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 ,0,11 ,9 ,0,5 
Boschilia,Brazil,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 ,0,4 
Wylan Cyprien,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,0,8 ,2 ,4 
Mathieu Debuchy,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,4 ,1 ,0,0,1 ,2 ,5 ,0,0,0,0,0,4 ,4 
Clement Depres,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 
Mathieu Dossevi,Togo,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,2 ,1 ,3 ,4 ,0,0,0,1 ,4 
Jimmy Durmaz,Sweden,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,3 ,4 
Angelo Fulgini,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,4 
Gelson Martins,Portugal,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 
Saman Ghoddos,Iran,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 
Eddy Gnahoré,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 
Romain Hamouma,France,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 ,2 ,5 ,9 ,3 ,3 ,7 ,5 ,4 
Aaron Leya Iseka,Belgium,Ligue 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 
