Player,Country,League,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
Fabio Quagliarella,Italy,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,13 ,12 ,13 ,11 ,9 ,4 ,9 ,1 ,13 ,8 ,12 ,19 ,26 
Duván Zapata,Colombia,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,6 ,8 ,10 ,11 ,23 
Krzysztof Piątek,Poland,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22 
Cristiano Ronaldo,Portugal,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21 
Arkadiusz Milik,Poland,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,5 ,17 
Francesco Caputo,Italy,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,16 
Dries Mertens,Belgium,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11 ,6 ,5 ,28 ,18 ,16 
Leonardo Pavoletti,Italy,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 ,14 ,3 ,11 ,16 
Andrea Petagna,Italy,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,4 ,16 
Andrea Belotti,Italy,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 ,12 ,26 ,10 ,15 
Ciro Immobile,Italy,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,22 ,0,5 ,23 ,29 ,15 
Josip Iličič,Slovenia,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 ,3 ,10 ,3 ,8 ,13 ,5 ,11 ,12 
Gregoire Defrel,France,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 ,7 ,12 ,1 ,11 
Stephan El Shaarawy,Italy,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,16 ,0,3 ,8 ,8 ,7 ,11 
Gervinho,Ivory Coast,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9 ,2 ,6 ,0,0,11 
Mauro Icardi,Argentina,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 ,9 ,22 ,16 ,24 ,29 ,11 
Lorenzo Insigne,Italy,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,3 ,2 ,12 ,18 ,8 ,10 
Rodrigo de Paul,Argentina,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,4 ,9 
Edin Džeko,Bosnia-Herzegovina,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 ,29 ,16 ,9 
Roberto Inglese,Italy,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,10 ,12 ,9 
Mario Mandžukić,Croatia,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 ,7 ,5 ,9 
Domenico Berardi,Italy,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16 ,15 ,7 ,5 ,4 ,8 
Felipe Caicedo,Ecuador,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 ,8 
Aleksandar Kolarov,Serbia,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,2 ,3 ,0,0,0,0,0,0,0,2 ,8 
Riccardo Orsolini,Italy,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 
Ivan Perišić,Croatia,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 ,11 ,11 ,8 
Federico Santander,Paraguay,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8 
Khouma Babacar,Senegal,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,7 ,5 ,10 ,6 ,7 
Marco Benassi,Italy,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,3 ,3 ,5 ,5 ,7 
Camillo Ciano,Italy,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7 
Diego Farias,Brazil,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6 ,0,7 ,1 ,7 
Papu Gómez,Argentina,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4 ,4 ,8 ,0,3 ,7 ,16 ,6 ,7 
João Pedro,Brazil,Serie A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 ,0,7 ,5 ,7 
