Country,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
Albania,0,0,0,6,0,0,0,0,0,12,11,5,7,16,11,21,11,15,4,2,8,8,3,3,3,1,4,0,0
Algeria,7,7,9,14,25,26,13,11,15,18,18,8,19,11,17,8,34,23,30,30,27,25,34,33,39,62,50,38,57
Angola,0,0,0,0,1,0,0,0,0,0,0,0,2,5,6,6,3,0,2,4,0,2,10,3,5,7,0,4,2
Antigua & Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Argentina,67,85,92,87,117,91,141,147,191,169,211,207,165,161,126,162,198,219,229,303,300,358,334,273,346,256,306,286,275
Armenia,4,6,6,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,4,3,6
Australia,0,2,9,9,6,5,4,11,12,27,41,42,50,44,31,37,28,22,17,9,13,4,5,3,5,3,0,9,5
Austria,26,14,27,26,30,20,45,23,20,19,13,8,6,6,2,5,5,7,7,19,28,42,37,33,30,39,60,60,53
Azerbaijan,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,4,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,2,5,5,6,6,2,2,0,1,2,1,0,0,1,0,0,0,0
Belgium,25,16,15,19,11,34,23,38,15,49,39,34,31,8,21,24,12,20,34,39,31,55,93,102,117,104,162,123,121
Benin,1,3,3,2,0,0,0,0,0,0,0,0,1,1,0,0,1,5,6,6,3,7,7,6,1,8,17,8,2
Bermuda,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia-Herzegovina,26,27,32,41,45,28,31,36,12,13,35,33,21,25,19,20,29,37,61,63,31,51,41,54,27,39,69,35,34
Brazil,88,74,89,125,112,139,228,183,192,223,230,263,287,352,329,345,342,363,354,311,226,187,193,223,194,212,222,263,203
Bulgaria,32,36,53,26,34,40,57,38,25,11,15,24,20,48,53,37,20,31,25,25,29,16,15,10,9,0,4,3,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,4,5,27,7,11,7,2,10,15,8,18,14,5,4,2,6,18,7
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,14,5,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,14,11,13,7,10,15,3,11,25,33,38,22,60,42,59,47,46,40,64,52,66,41,27,49,44,34,32,35,27
Canada,0,0,2,0,1,0,0,0,0,0,1,9,11,12,6,4,4,2,9,4,6,12,5,0,2,0,1,2,4
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,2,6,11,4,3,2,7,5,8,5,0,9,17,13
Central Afr. Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,1,0,0,1,2,4,1,1,4,1
Chad,4,6,12,8,12,16,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,6
Chile,9,12,26,11,28,12,8,1,25,19,12,8,12,6,9,13,10,19,21,31,55,42,51,54,45,41,40,25,18
China,0,0,0,0,0,0,0,0,8,4,4,0,3,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3
Colombia,2,1,7,21,21,6,9,4,20,16,25,16,7,17,17,14,8,14,13,44,33,59,74,99,77,68,84,71,73
Comoros,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Congo,0,0,0,0,0,0,0,1,0,6,2,0,1,7,13,4,6,8,2,10,7,4,0,16,8,10,5,1,2
