Date,Chrome,UC Browser,Opera,Firefox,IE,Nokia,Android,NetFront,Safari,Samsung Internet,IEMobile,Dolfin,KaiOS,Samsung,Edge,Openwave,Jasmine,BlackBerry,SonyEricsson,Tizen,Obigo,mCent,Chromium,MeeGo,Maxthon,iBrowser,Bolt,Mozilla,Phantom,LG
2009-01,4.03,0,4.77,28.71,60.93,0.61,0,0.02,0.58,0,0,0,0,0,0,0.01,0,0,0.09,0,0,0,0,0,0,0,0,0.12,0,0
2009-02,4.12,0,5.14,29.48,59.44,0.8,0,0.03,0.59,0,0,0,0,0,0,0.02,0,0,0.13,0,0,0,0,0,0,0,0,0.11,0,0
2009-03,4.56,0,5.08,29.8,58.53,0.96,0,0.03,0.64,0,0,0,0,0,0,0.02,0,0,0.14,0,0,0,0,0,0,0,0,0.12,0,0
2009-04,5.32,0,4.72,30.32,57.83,0.76,0,0.02,0.64,0,0,0,0,0,0,0.02,0,0,0.11,0,0,0,0,0,0,0,0,0.14,0,0
2009-05,6.27,0,5.11,29.15,57.19,0.72,0,0.03,0.61,0,0,0,0,0,0,0.01,0,0,0.09,0,0,0,0,0,0,0,0,0.71,0,0
2009-06,6.58,0,4.95,28.91,56.81,0.83,0,0.03,0.63,0,0,0,0,0,0,0.02,0,0,0.1,0,0,0,0,0,0,0,0,1.02,0,0
2009-07,6.83,0,5.04,29.25,56.84,0.95,0,0.07,0.63,0,0.01,0,0,0,0,0.02,0,0,0.1,0,0,0,0,0,0,0,0,0.15,0,0
2009-08,8.01,0,5.11,30.93,53.76,0.96,0,0.17,0.67,0,0.01,0,0,0.02,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0
2009-09,8.55,0,5,31.53,52.58,1,0,0.18,0.72,0,0.01,0,0,0.02,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
2009-10,9.33,0,5.34,31.78,51.1,1.05,0,0.19,0.74,0,0.01,0,0,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
2009-11,10.04,0,5.11,31.14,50.88,1.04,0,0.21,0.76,0,0.01,0,0,0.03,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0.62,0,0
2009-12,11.02,0,5.44,30.51,49.61,1.05,0,0.23,0.73,0,0.01,0,0,0.04,0,0.04,0,0,0.01,0,0,0,0,0,0.04,0,0,1.16,0,0
2010-01,12.01,0,5.99,29.94,48.26,1.46,0,0.32,0.76,0,0.01,0,0,0.06,0,0.05,0,0.01,0.01,0,0,0,0,0,0.06,0,0,0.9,0,0.01
2010-02,12.16,0,6.05,30.11,48.34,1.65,0.01,0.37,0.81,0,0.01,0,0,0.07,0,0.07,0,0.01,0.01,0,0,0,0,0,0.05,0,0,0.15,0,0.01
2010-03,12.52,0,7.15,29.38,47.34,1.87,0.01,0.38,0.8,0,0.01,0,0,0.09,0,0.07,0,0.01,0.01,0,0,0,0,0,0.05,0,0,0.17,0,0.01
2010-04,13.27,0,7.6,29.05,46.23,2,0.01,0.45,0.79,0,0.01,0,0,0.11,0,0.07,0,0.01,0.01,0,0,0,0,0,0.05,0,0.02,0.17,0,0.01
2010-05,13.84,0,8.63,28.93,44.27,2.35,0.01,0.51,0.72,0,0.01,0,0,0.13,0,0.09,0,0.01,0.02,0,0,0,0,0,0.04,0,0.1,0.15,0,0.01
2010-06,13.86,0,9.91,27.7,42.55,3.59,0.02,0.76,0.69,0,0.01,0,0,0.27,0,0.15,0,0.01,0.02,0,0,0,0,0,0.04,0,0.13,0.14,0,0.03
2010-07,14.74,0,9.83,28.23,41.35,3.5,0.02,0.71,0.73,0,0.01,0,0,0.25,0,0.14,0,0.02,0.02,0,0,0,0,0,0.04,0,0.15,0.1,0,0.02
2010-08,15.82,0,10.49,28.26,39.2,3.72,0.03,0.78,0.78,0,0.01,0,0,0.26,0,0.15,0,0.02,0.02,0,0,0,0,0,0.04,0,0.16,0.13,0,0.03
2010-09,16.83,0,11.2,28.01,36.91,4.28,0.05,0.95,0.8,0,0.01,0,0,0.32,0,0.17,0,0.02,0.03,0,0,0,0,0,0.04,0,0.16,0.11,0,0.03
2010-10,17.68,0,11.11,28.14,36,4.2,0.07,1,0.82,0,0.01,0,0,0.33,0,0.16,0,0.02,0.03,0,0,0,0,0,0.04,0,0.16,0.09,0,0.03
2010-11,18.2,0,12.04,27.3,34.59,4.64,0.11,1.25,0.83,0,0.01,0,0,0.4,0,0.17,0,0.02,0.03,0,0,0,0,0,0.04,0,0.14,0.07,0,0.03
2010-12,19.49,0,11.98,27.64,34.35,3.72,0.13,1,0.85,0,0.01,0,0,0.32,0,0.12,0,0.02,0.03,0,0,0,0,0,0.04,0,0.12,0.06,0,0.02
2011-01,19.8,0,13.84,26.47,31.86,4.58,0.16,1.4,0.86,0,0.01,0,0,0.44,0,0.16,0,0.03,0.03,0,0,0,0,0,0.03,0,0.13,0.05,0,0.03
2011-02,19.92,0,14.56,26.38,30.63,4.84,0.2,1.51,0.86,0,0.02,0,0,0.5,0,0.18,0,0.03,0.03,0,0,0,0,0,0.04,0,0.13,0.05,0,0.03
2011-03,20.01,0.02,14.52,25.83,29.43,6.07,0.24,1.67,0.87,0,0.02,0,0,0.64,0,0.21,0,0.04,0.09,0,0,0,0,0,0.04,0,0.15,0.05,0,0.03
2011-04,20.07,0.01,16.12,24.89,27.58,6.62,0.3,1.55,0.85,0,0.02,0.11,0,0.5,0,0.2,0.12,0.04,0.07,0,0.03,0,0.01,0,0.04,0,0.16,0.04,0,0.04
2011-05,20.35,0,16.72,24.16,26.83,6.57,0.38,0.73,0.85,0,0.02,0.37,0,0.04,0,0.12,0.37,0.04,0.04,0,0.27,0,0.04,0,0.04,0,0.18,0.04,0,0.04
2011-06,19.53,0,19.64,22.4,24.08,8.05,0.45,1.78,0.81,0,0.02,0.5,0,0.17,0,0.14,0.43,0.04,0.05,0,0.33,0,0.04,0,0.04,0,0.21,0.03,0,0.04
2011-07,20.41,0.04,18.62,22.3,22.47,9.14,0.51,2.96,0.83,0,0.01,0.57,0,0.48,0,0.13,0.42,0.05,0.15,0,0.35,0,0.04,0,0.04,0,0.25,0.03,0,0.05
2011-08,20.95,0.06,18.67,21.76,20.67,10.18,0.61,3.16,0.86,0,0.01,0.68,0,0.65,0,0.13,0.44,0.05,0.2,0,0.37,0,0.04,0,0.04,0,0.2,0.02,0,0.05
2011-09,21.38,0.3,18.99,22.28,19.58,9.94,0.66,2.81,0.91,0,0.01,0.73,0,0.69,0,0.12,0.43,0.05,0.2,0,0.34,0,0.05,0,0.04,0,0.24,0.03,0,0.05
2011-10,22.25,3.84,19.05,22.11,17.79,7.46,0.74,2.84,0.96,0,0.01,0.79,0,0.61,0,0.1,0.42,0.06,0.09,0,0.33,0,0.05,0,0.05,0,0.23,0.03,0,0.04
2011-11,21.77,4.44,19.59,21.48,16.85,7.78,0.89,3.06,0.94,0,0.01,0.9,0,0.67,0,0.11,0.45,0.06,0.09,0,0.32,0,0.05,0,0.05,0,0.3,0.02,0,0.04
2011-12,21.46,5.02,20.56,20.42,15.56,8.45,1.07,3.3,0.94,0,0.01,0.96,0,0.72,0,0.11,0.48,0.06,0.1,0,0.32,0,0.06,0,0.05,0,0.12,0.04,0,0.04
2012-01,21.44,5.88,20.66,19.62,14.14,8.76,1.36,3.72,0.98,0,0.02,1.08,0,0.82,0,0.11,0.51,0.07,0.1,0,0.34,0,0.06,0,0.05,0,0,0.06,0,0.05
2012-02,22.95,6.03,19.24,20.71,14.02,8.06,1.62,3.06,1.07,0,0.04,1.08,0,0.75,0,0.1,0.42,0.07,0.1,0,0.29,0,0.06,0,0.05,0.03,0,0.05,0,0.04
2012-03,25.83,6.94,17.36,21.17,11.39,7.83,1.54,3.55,0.97,0,0.05,1.2,0,0.73,0,0.09,0.44,0.08,0.09,0,0.29,0,0.05,0,0.05,0.03,0,0.03,0,0.04
2012-04,22.48,9.75,17.96,18.71,10.52,8.98,1.9,4.6,0.96,0,0.07,1.46,0,0.92,0,0.1,0.52,0.1,0.1,0,0.34,0,0.05,0,0.06,0.04,0,0.03,0,0.05
2012-05,21.88,10.46,18.8,17.75,9.13,9.16,2.29,5.11,1,0,0.08,1.62,0,0.92,0,0.09,0.51,0.1,0.09,0,0.35,0,0.04,0,0.07,0.05,0,0.01,0,0.05
2012-06,22.04,10.54,18.69,17.6,9.15,8.82,2.44,5.43,1.05,0,0.09,1.54,0,0.86,0,0.08,0.49,0.1,0.08,0,0.31,0,0.04,0,0.08,0.07,0,0.01,0,0.04
2012-07,21.42,10.83,18.19,17.2,9.1,8.98,2.76,5.64,1.1,0,0.11,1.57,0,0.84,0,0.07,0.49,0.11,0.08,0,0.31,0,0.04,0,0.07,0.1,0,0.01,0.01,0.04
2012-08,21.04,10.47,18.51,16.47,8.9,9.37,3.11,5.9,1.15,0,0.13,1.57,0,0.85,0,0.07,0.48,0.12,0.08,0,0.31,0,0.04,0,0.08,0.17,0,0.01,0.04,0.04
2012-09,20.81,9.9,18.59,15.8,8.87,10.03,3.29,6.34,1.17,0,0.15,1.55,0,0.86,0,0.07,0.49,0.13,0.07,0,0.31,0,0.04,0,0.08,0.22,0,0.01,0.05,0.04
2012-10,20.41,10.43,18.53,15.46,9.04,10.03,3.5,6.5,1.13,0,0.16,1.49,0,0.81,0,0.07,0.47,0.13,0.07,0,0.3,0,0.04,0,0.07,0.16,0,0.01,0.05,0.04
2012-11,19.74,13.24,18.51,14.45,8.1,9.74,3.83,6.51,1.15,0,0.18,1.34,0,0.9,0,0.06,0.43,0.12,0.06,0,0.26,0,0.04,0,0.07,0.1,0,0.01,0.05,0.03
2012-12,19.05,15.36,18.14,13.5,7.25,9.85,4.22,6.74,1.15,0,0.2,1.35,0,0.91,0,0.06,0.42,0.13,0.06,0,0.25,0,0.04,0,0.07,0.08,0,0.01,0.05,0.03
2013-01,21.49,14.44,17.87,14.21,7.62,8.74,4.52,5.63,1.31,0,0.22,1.09,0,0.83,0,0.05,0.33,0.13,0.05,0,0.2,0,0.04,0,0.08,0.08,0,0.01,0.05,0.02
2013-02,22.15,14.17,17.54,14.71,7.77,8.12,4.86,5.35,1.39,0,0.21,0.96,0,0.83,0,0.05,0.29,0.13,0.05,0,0.17,0,0.03,0,0.09,0.08,0,0.01,0.04,0.02
2013-03,22.69,13.99,17.85,14.07,7.23,8.22,5.33,5.32,1.43,0,0.24,0.95,0,0.77,0,0.05,0.29,0.13,0.05,0,0.17,0,0.03,0,0.09,0.08,0,0.01,0.05,0.02
2013-04,22.83,15.32,17.51,13.56,6.57,8.26,5.64,5.15,1.4,0,0.27,0.9,0,0.76,0,0.04,0.27,0.13,0.05,0,0.16,0,0.04,0,0.09,0.07,0,0.01,0.05,0.02
2013-05,23.57,15.63,17.25,13.03,6.25,8.27,5.75,5.16,1.39,0,0.3,0.85,0,0.77,0,0.04,0.25,0.12,0.04,0,0.15,0,0.04,0,0.09,0.08,0,0.01,0.05,0.02
2013-06,22.73,16.41,18.23,12.17,5.73,8.54,6.28,5.01,1.33,0,0.36,0.83,0,0.72,0,0.03,0.24,0.12,0.04,0,0.13,0,0.04,0,0.08,0.08,0,0.01,0.05,0.02
2013-07,22.4,17.54,17.41,11.93,5.45,8.65,6.86,4.88,1.38,0,0.44,0.77,0,0.38,0,0.35,0.2,0.12,0.03,0,0.11,0,0.04,0,0.09,0.08,0,0,0.05,0.03
2013-08,21.42,18.81,17.63,11.1,5.17,8.74,7.35,4.88,1.36,0,0.52,0.73,0,0.38,0,0.37,0.19,0.12,0.03,0,0.1,0,0.04,0,0.08,0.08,0,0,0.05,0.03
2013-09,20.87,20.23,17.28,10.55,5.63,8.19,7.25,5.13,1.3,0,0.56,0.69,0,0.41,0,0.38,0.17,0.13,0.03,0,0.1,0,0.04,0,0.08,0.07,0,0,0.05,0.03
2013-10,20.63,19.08,20.58,10.48,5.45,7.42,6.75,4.89,1.24,0,0.63,0.62,0,0.35,0,0.35,0.17,0.13,0.03,0,0.1,0,0.04,0,0.08,0.06,0,0,0.04,0.02
2013-11,19.86,20.82,18.1,9.69,5.49,8.07,7.39,5.21,1.26,0,0.78,0.64,0,0.31,0,0.37,0.18,0.16,0.12,0,0.11,0,0.04,0,0.08,0.05,0,0,0.05,0.03
2013-12,19.53,21.44,18.57,9.21,3.95,8.16,8.3,5.21,1.33,0,0.93,0.66,0,0.26,0,0.39,0.18,0.15,0.14,0,0.11,0,0.04,0,0.07,0.05,0,0,0.05,0.03
2014-01,20.16,21.26,18.04,9.39,3.85,7.94,8.27,5.21,1.42,0,0.94,0.67,0,0.26,0,0.43,0.18,0.16,0.16,0,0.11,0,0.04,0,0.07,0.05,0,0,0.05,0.03
2014-02,21.02,20.85,17.87,9.77,3.96,7.61,8.17,4.99,1.41,0,0.96,0.64,0,0.25,0,0.42,0.17,0.16,0.16,0,0.1,0,0.04,0,0.08,0.04,0,0,0.04,0.03
2014-03,20.28,23.09,17.74,8.92,3.52,7.46,8.32,4.93,1.37,0,0.95,0.59,0,0.26,0,0.39,0.15,0.15,0.16,0,0.1,0,0.04,0,0.09,0.04,0,0,0.04,0.03
2014-04,20.73,23.53,17.25,8.6,3.43,7.22,8.19,5.18,1.42,0,0.97,0.59,0,0.26,0,0.4,0.15,0.16,0.17,0,0.1,0,0.04,0,0.08,0.04,0,0,0.04,0.03
2014-05,20.57,24.11,17.98,8.17,3.2,7.13,8.42,4.72,1.41,0,0.97,0.54,0,0.24,0,0.37,0.13,0.16,0.17,0,0.09,0,0.04,0,0.07,0.03,0,0,0.04,0.03
2014-06,21.64,23.65,18.16,8.25,3.23,6.79,8.68,4.06,1.43,0,0.99,0.52,0,0.16,0,0.33,0.12,0.18,0.18,0,0.08,0,0.04,0,0.07,0.03,0,0,0.03,0.02
2014-07,21.69,23.87,18.51,8.08,3.08,6.82,8.44,4.02,1.43,0,1.01,0.5,0,0.14,0,0.31,0.12,0.2,0.18,0,0.07,0,0.04,0,0.07,0.02,0,0,0.03,0.02
2014-08,21.38,25.31,18,7.4,2.77,6.7,8.66,4.14,1.46,0,1.03,0.5,0,0.12,0,0.31,0.12,0.21,0.2,0,0.07,0,0.04,0,0.08,0.02,0,0,0.03,0.02
2014-09,22.48,25.53,17.02,7.64,2.79,6.49,8.65,3.9,1.42,0,1.05,0.47,0,0.1,0,0.29,0.11,0.2,0.21,0,0.07,0,0.04,0,0.07,0.02,0,0,0.03,0.02
2014-10,22.68,26.54,17.5,7.34,2.63,6.26,8.29,3.51,1.36,0,1.1,0.42,0,0.1,0,0.26,0.1,0.19,0.19,0,0.06,0,0.04,0,0.07,0.02,0,0,0.03,0.02
2014-11,22.97,28,16.84,7.06,2.49,5.9,8.3,3.17,1.38,0,1.17,0.39,0,0.09,0,0.25,0.09,0.2,0.21,0,0.06,0,0.04,0,0.07,0.02,0,0,0.02,0.02
2014-12,22.77,29.99,16.71,6.61,2.4,5.64,8.01,3,1.41,0,0.95,0.36,0,0.1,0,0.22,0.08,0.2,0.18,0,0.05,0,0.03,0.01,0.07,0.02,0,0,0.02,0.02
2015-01,24.66,30.14,16,6.88,2.41,5.05,7.76,2.41,1.47,0,0.86,0.31,0,0.09,0,0.2,0.06,0.2,0.18,0.02,0.04,0,0.04,0.05,0.07,0.01,0,0,0.02,0.01
2015-02,26.68,28.92,14.68,7.39,2.83,4.62,7.94,2.3,1.49,0,0.84,0.29,0,0.06,0,0.21,0.06,0.19,0.21,0.08,0.04,0,0.04,0.06,0.07,0.01,0,0,0.02,0.01
2015-03,26.42,31.22,14.02,6.99,2.57,4.24,8.09,1.89,1.54,0,0.84,0.25,0,0.05,0,0.19,0.05,0.19,0.19,0.11,0.04,0,0.04,0.07,0.07,0.01,0,0,0.02,0.01
2015-04,27.96,31.94,14.24,7.14,2.45,3.45,6.94,1.54,1.52,0,0.84,0.23,0,0.02,0,0.16,0.04,0.18,0.18,0.13,0.03,0,0.04,0.08,0.07,0.01,0,0,0.01,0.01
2015-05,29.81,31.68,14.67,7.66,2.59,2.02,6.19,1.28,1.45,0,0.84,0.21,0,0,0,0.16,0.04,0.16,0.18,0.14,0.03,0,0.05,0.08,0.06,0.01,0,0,0.01,0.01
2015-06,30.14,31.47,16.11,7.48,2.59,1.17,5.85,1.12,1.5,0,0.85,0.18,0,0,0,0.13,0.03,0.15,0.17,0.15,0.02,0,0.04,0.09,0.05,0.01,0,0,0.01,0.01
2015-07,31.41,30.92,16.19,7.78,2.59,1.07,5.01,0.95,1.52,0,0.9,0.15,0,0,0.01,0.12,0.03,0.15,0.16,0.16,0.02,0,0.05,0.11,0.05,0,0,0,0.01,0.01
2015-08,30.74,32.95,15.79,7.15,2.28,0.98,5.13,0.93,1.52,0,0.91,0.14,0,0,0.12,0.1,0.02,0.15,0.14,0.16,0.02,0,0.05,0.12,0.05,0,0,0,0.01,0
