Date,Samsung,Nokia,Micromax,Xiaomi,Lenovo,Oppo,Motorola,Apple,Sony Ericsson,Mobicel,BBK,HTC,Huawei,Gionee,Asus,LG,Lyf,Lava,Spice,Google,Sony,Coolpad,OnePlus,Panasonic,LeEco,Reliance Digital,RIM,Itel,Alcatel,Intex,InFocus,Xolo,Yu,Karbonn,Tecno,ZTE,Infinix,Comio,HP
2010-04,4.99,83.58,0,0,0,0,0.37,1.07,9.42,0,0,0.08,0,0,0,0.24,0,0,0,0.02,0.04,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0
2010-05,7.45,82.37,0,0,0,0,0.25,0.96,8.55,0,0,0.02,0,0,0,0.14,0,0,0,0.02,0.05,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0
2010-06,9.02,81.81,0,0,0,0,0.24,0.72,7.83,0,0,0.02,0,0,0,0.13,0,0,0,0.02,0.03,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0
2010-07,8.67,82.17,0,0,0,0,0.28,0.82,7.42,0,0,0.07,0,0,0,0.32,0,0,0,0.02,0.02,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
2010-08,9.12,82.03,0,0,0,0,0.26,0.9,7.03,0,0,0.06,0,0,0,0.36,0,0,0,0.02,0.02,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
2010-09,10,81.74,0,0,0,0,0.25,0.84,6.56,0,0,0.06,0,0,0,0.34,0,0,0,0.02,0.01,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0
2010-10,10.79,80.85,0,0,0,0,0.25,0.86,6.61,0,0,0.06,0,0,0,0.34,0,0,0,0.02,0.01,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
2010-11,11.88,80.15,0,0,0,0,0.24,0.85,6.27,0,0,0.05,0,0,0,0.33,0,0,0,0.02,0.01,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0
2010-12,10.82,81.11,0,0,0,0,0.23,1.01,6.25,0,0,0.04,0,0,0,0.28,0,0,0,0.02,0.02,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0
2011-01,12.22,80.27,0,0,0,0,0.22,0.9,5.84,0,0,0.04,0,0,0,0.28,0,0,0,0.02,0.02,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
2011-02,12.8,79.98,0,0,0,0,0.2,0.87,5.58,0,0,0.05,0,0,0,0.28,0,0,0,0.01,0.01,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0
2011-03,13.24,79.69,0,0,0,0,0.19,0.84,5.48,0,0,0.04,0,0,0,0.27,0,0,0,0.01,0.01,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0
2011-04,14.51,78.72,0,0,0,0,0.19,0.79,5.24,0,0,0.04,0,0,0,0.26,0,0,0,0.01,0.01,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0
2011-05,16.12,77.62,0,0,0,0,0.13,0.81,4.8,0,0,0.04,0,0,0,0.23,0,0,0,0.01,0.01,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0
2011-06,16.61,77.87,0,0,0,0,0.12,0.66,4.29,0,0,0.03,0,0,0,0.22,0,0,0,0.01,0.01,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
2011-07,17.67,76.89,0,0,0,0,0.11,0.68,4.2,0,0,0.03,0,0,0,0.22,0,0,0,0.01,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0
2011-08,18.66,76.09,0,0,0,0,0.09,0.69,4,0,0,0.02,0,0,0,0.21,0,0,0,0.02,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
2011-09,18.32,76.68,0,0,0,0,0.08,0.74,3.72,0,0,0.03,0,0,0,0.2,0,0,0,0.02,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
2011-10,19.12,75.3,0,0,0,0,0.09,0.79,3.57,0,0,0.29,0,0,0,0.57,0,0,0,0.02,0.01,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0
2011-11,19.9,74.55,0,0,0,0,0.08,0.77,3.46,0,0,0.32,0,0,0,0.65,0,0,0,0.02,0.01,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
2011-12,20.31,74.29,0,0,0,0,0.08,0.79,3.34,0,0,0.34,0,0,0,0.59,0,0,0,0.02,0.01,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
2012-01,21.88,72.95,0,0,0,0,0.08,0.82,3.08,0,0,0.35,0,0,0,0.56,0,0,0,0.02,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0
2012-02,21.78,72.79,0,0,0,0,0.08,0.99,3.03,0,0,0.43,0,0,0,0.6,0,0,0,0.02,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
2012-03,20.73,62.25,0,0,0,0,0.06,0.79,2.57,0,0,0.4,0.01,0,0,0.52,0,0,0,0.01,0.01,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0
2012-04,19.79,53.8,0,0,0,0,0.06,0.66,2.24,0,0,0.39,0.06,0,0,0.46,0,0,0,0.01,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0.01,0,0,0
2012-05,23.21,54.88,0,0,0,0,0.08,0.68,2.22,0,0,0.48,0.08,0,0,0.99,0,0,0,0.02,0,0,0,0,0,0,0.24,0,0.01,0,0,0,0,0,0,0.09,0,0,0
