"Date","Google google.co.in","Google google.com","bing bing.com","Yahoo! in.yhs4.search.yahoo.com","Yahoo! in.search.yahoo.com","Yahoo! r.search.yahoo.com","Google images.google.co.in","Yahoo! search.yahoo.com","Google google.com.hk","Google google.co.uk","Babylon search.babylon.com","Ask Jeeves search.ask.com","Google news.google.co.in","Ask Jeeves ask.com","Ask Jeeves search.tb.ask.com","Webcrawler webcrawler.com","Google images.google.com","Conduit search.conduit.com","Ask Jeeves www1.search.ask.com","Google google.ca","Google google.com.au","DuckDuckGo duckduckgo.com","Google google.com.sg","Google google.nl","Yahoo! m.yahoo.com","SweetIM search.sweetim.com","Google google.ae","bing m.bing.com","Ask Jeeves in.ask.com","V9 search.v9.com","Google news.google.com","Other"
2009-01,75.7,16.86,0,0,2.37,0,0.04,1.61,0.01,0.34,0,0,0.21,0.18,0,0,0.01,0,0,0.04,0.03,0,0.04,0.01,0,0,0.01,0,0,0,0.05,2.5
2009-02,75.63,17.03,0,0,2.22,0,0.16,1.47,0.01,0.34,0,0,0.22,0.22,0,0,0.02,0,0,0.04,0.04,0,0.03,0,0,0,0.01,0,0,0,0.05,2.51
2009-03,74,17.76,0,0,2.21,0,1,1.44,0.01,0.33,0,0,0.17,0.22,0,0,0.17,0,0,0.05,0.04,0,0.03,0,0,0,0.01,0,0,0,0.04,2.52
2009-04,71.14,15.18,0,0,1.81,0,6.43,1.21,0,0.29,0,0,0.21,0.21,0,0.01,0.99,0,0,0.04,0.03,0,0.03,0,0,0,0.01,0,0,0,0.05,2.36
2009-05,75.59,10.95,0,0,1.62,0,6.27,1.16,0,0.31,0,0,0.25,0.26,0,0,0.75,0,0,0.04,0.03,0,0.03,0,0,0,0.01,0,0,0,0.04,2.7
2009-06,76.27,10.07,1.86,0,1.63,0,6.67,1.1,0,0.26,0,0,0.22,0.25,0,0,0.74,0,0,0.04,0.02,0,0.02,0,0,0,0.01,0,0,0,0.04,0.78
2009-07,77,9.86,1.57,0,1.59,0,6.6,1.08,0,0.24,0,0,0.19,0.25,0,0,0.71,0,0,0.04,0.03,0,0.02,0.01,0,0,0.01,0,0,0,0.04,0.75
2009-08,76.61,9.62,1.41,0,1.89,0,7.02,0.86,0,0.24,0,0,0.4,0.27,0,0,0.75,0,0,0.04,0.03,0,0.03,0,0,0,0.01,0,0,0,0.06,0.78
2009-09,77.53,9.01,1.24,0,1.82,0,7.05,0.8,0.01,0.22,0,0,0.41,0.26,0,0,0.73,0,0,0.05,0.03,0,0.02,0.01,0,0,0.01,0,0,0,0.06,0.74
2009-10,77.28,8.66,1.19,0,1.63,0,7.62,0.73,0.01,0.21,0,0,0.67,0.26,0,0,0.76,0,0,0.06,0.03,0,0.03,0.01,0,0,0.01,0,0,0,0.08,0.77
2009-11,78.22,8.4,1.08,0,1.42,0,7.19,0.65,0,0.22,0,0,0.93,0.27,0,0,0.69,0,0,0.04,0.03,0,0.03,0,0,0,0.01,0,0,0,0.11,0.69
2009-12,78.21,8.45,1.06,0,1.28,0,7.15,0.64,0,0.21,0,0,1.18,0.24,0,0,0.7,0,0,0.04,0.03,0,0.03,0.01,0,0,0.01,0,0,0,0.11,0.65
2010-01,79.21,8.68,1.11,0,1.16,0,6.48,0.55,0,0.21,0,0,0.86,0.25,0,0,0.65,0,0,0.04,0.03,0,0.03,0.01,0,0,0.01,0,0,0,0.09,0.64
2010-02,79.32,9.12,1.2,0,1.22,0,5.88,0.53,0,0.21,0,0,0.93,0.24,0,0,0.6,0,0,0.04,0.03,0,0.02,0.01,0,0,0.01,0,0,0,0.09,0.56
2010-03,82.18,7.09,1.19,0,1.26,0,5.54,0.5,0.01,0.21,0,0,0.72,0.21,0,0,0.46,0,0,0.04,0.03,0,0.02,0.01,0,0,0.01,0,0,0,0.06,0.47
2010-04,83.44,8.02,1.18,0,1.12,0,4.2,0.5,0.01,0.22,0,0,0.18,0.2,0,0,0.34,0,0,0.04,0.03,0,0.03,0,0,0,0.01,0,0,0,0.03,0.44
2010-05,86.49,8.65,1.24,0,1.09,0,0.71,0.53,0.01,0.22,0,0,0.2,0.22,0,0,0.08,0,0,0.04,0.03,0,0.03,0.01,0,0,0.01,0,0,0,0.03,0.4
2010-06,86.87,8.93,1.27,0,1.14,0,0.03,0.53,0.01,0.21,0,0,0.2,0.23,0,0,0.04,0,0,0.04,0.03,0,0.03,0.01,0,0,0.01,0,0,0,0.03,0.38
2010-07,85.95,10.05,1.36,0,0.97,0,0.03,0.43,0.01,0.23,0,0,0.14,0.22,0,0,0.06,0,0,0.05,0.03,0,0.03,0,0,0,0.02,0,0,0,0.03,0.39
2010-08,86.27,10,1.23,0,0.82,0,0.03,0.37,0.01,0.23,0,0,0.1,0.2,0,0.01,0.18,0,0,0.05,0.03,0,0.03,0.01,0,0,0.02,0,0,0,0.02,0.4
2010-09,85.86,10.45,1.16,0,0.78,0,0.02,0.33,0.01,0.24,0,0,0.15,0.19,0,0.01,0.17,0,0,0.05,0.03,0,0.03,0.01,0,0,0.01,0,0,0,0.02,0.46
2010-10,85.76,10.69,1.08,0,0.79,0,0.02,0.33,0.01,0.23,0,0,0.15,0.22,0,0.01,0.16,0,0,0.05,0.03,0,0.03,0.01,0,0,0.01,0,0,0,0.02,0.41
2010-11,85.27,11.13,1.02,0,0.85,0,0.02,0.35,0.01,0.22,0,0,0.18,0.2,0,0.01,0.15,0,0,0.06,0.03,0,0.03,0.01,0,0,0.01,0,0,0,0.02,0.41
2010-12,84.98,11.6,0.96,0,0.89,0,0.02,0.35,0.01,0.2,0,0,0.12,0.17,0,0.01,0.17,0,0,0.06,0.03,0,0.03,0.01,0,0,0.01,0,0,0,0.02,0.37
2011-01,84.4,12.09,1.22,0,0.83,0,0.01,0.34,0.01,0.19,0,0,0.11,0.17,0,0,0.12,0,0,0.06,0.03,0,0.03,0,0,0,0.01,0,0,0,0.02,0.34
