Date,Apple,Samsung,Acer,Lenovo,Google,woPad,Asus,Kupa,Xiaomi,eSTAR,Dell,Amazon,iBall,RIM,ZTE,Micromax,Tecno,Microsoft,Sony,Sony Ericsson,HP,LG,Motorola,White Label,RCA,Alcatel,Toshiba,ViewSonic,HTC,Barnes & Noble,Spice,AlcateI,Tesco,nVidia
2012-08,69.13,15.08,0.3,0,0.07,0,0.26,0,0,0,0,0.04,0,1.48,2.24,0.29,0,0,0.11,0,0.43,0.56,0.45,0,0,0,0.09,0.11,0.05,0.01,0,0,0,0
2012-09,64.32,22.27,0.3,0,0.41,0,0.33,0,0,0,0,0.05,0,1.47,1.82,1.56,0,0,0.55,0,0.41,0.48,0.39,0,0,0,0.1,0.11,0.04,0.01,0,0,0,0
2012-10,61.88,24.86,0.24,0,0.54,0,0.29,0,0,0,0,0.04,0,1.28,1.6,1.43,0,0,0.51,0,0.36,0.49,0.33,0,0,0,0.1,0.11,0.04,0.01,0,0,0,0
2012-11,59.4,28.27,0.25,0,0.73,0,0.25,0,0,0,0,0.03,0,1.12,1.4,1.2,0,0.02,0.47,0,0.34,0.41,0.32,0,0,0,0.1,0.08,0.04,0.01,0,0,0,0
2012-12,55.38,30.97,0.26,0,0.99,0,0.28,0,0,0,0,0.18,0,1.1,1.27,1.1,0,0.04,0.43,0,0.32,0.4,0.3,0,0,0,0.1,0.12,0.03,0.02,0,0,0,0
2013-01,55.14,30.69,0.25,0,1.25,0,0.32,0,0,0,0,0.44,0,1.11,1.08,0.9,0,0.07,0.41,0,0.35,0.28,0.29,0,0,0,0.1,0.1,0.03,0.02,0,0,0,0
2013-02,57.05,28.82,0.52,0,1.38,0,0.31,0,0,0,0,0.4,0,1,0.96,0.67,0,0.07,0.38,0,0.32,0.23,0.3,0,0,0,0.12,0.07,0.02,0.02,0,0,0,0
2013-03,56.17,29.06,1.7,0,1.31,0.01,0.25,0,0,0,0,0.43,0,0.89,0.85,0.62,0,0.08,0.41,0,0.23,0.23,0.26,0,0,0,0.12,0.08,0.02,0.01,0,0,0,0
2013-04,52.27,31.44,2.49,0,1.38,0.02,0.23,0,0,0,0,0.35,0,0.82,0.77,0.58,0,0.08,0.35,0,0.23,0.19,0.22,0,0,0,0.11,0.08,0.02,0.01,0,0,0,0
2013-05,47.31,30.36,2.79,0,1.24,0.02,0.18,0,0,0,0,0.31,0,0.69,0.7,0.43,0,0.08,0.34,0,0.18,0.17,0.23,0,0,0,0.05,0.06,0.01,0.01,0,0,0,0
2013-06,43.17,30.81,3.34,0,1.32,0.02,0.15,0,0,0,0,0.31,0,0.58,0.68,0.42,0,0.08,0.27,0,0.16,0.16,0.18,0,0,0,0.05,0.04,0.01,0.01,0,0,0,0
2013-07,42.16,30.96,3.84,0,1.27,0.1,0.15,0,0,0,0,0.28,0,0.53,0.54,0.32,0,0.09,0.22,0,0.15,0.14,0.14,0,0,0,0.03,0.04,0.04,0.01,0,0,0,0
2013-08,42.49,31.42,4.02,0,1.25,1.59,0.14,0,0,0,0,0.32,0,0.51,0.51,0.33,0,0.1,0.22,0,0.14,0.14,0.13,0,0,0,0.05,0.04,0.04,0,0,0,0,0
2013-09,43.25,31.05,3.73,0.01,1.4,2.71,0.14,0,0,0,0,0.35,0,0.48,0.48,0.31,0,0.11,0.2,0,0.14,0.15,0.13,0,0,0,0.04,0.03,0.04,0.01,0,0,0,0
2013-10,42.01,29.86,3.48,0,1.7,3.18,0.13,0,0,0,0,0.32,0,0.42,0.49,0.38,0,0.15,0.2,0,0.14,0.15,0.12,0,0,0,0.03,0.04,0.04,0,0,0,0,0
2013-11,42.43,28.87,3.21,0.63,2.12,3.2,0.13,0,0,0,0,0.35,0,0.41,0.44,0.26,0,0.11,0.19,0,0.13,0.15,0.11,0,0,0,0.03,0.04,0.04,0,0.08,0,0,0
2013-12,41.85,28.3,3.22,0.71,2.19,3.37,0.12,0,0,0,0,0.36,0,0.38,0.44,0.23,0,0.11,0.18,0,0.13,0.12,0.1,0,0,0,0.04,0.03,0.03,0,0.09,0,0,0
2014-01,42.98,26.41,3.18,0.69,2.65,3.62,0.14,0,0,0,0,0.37,0,0.36,0.41,0.2,0,0.1,0.18,0,0.14,0.14,0.09,0,0,0,0.02,0.04,0.03,0,0.08,0,0,0
2014-02,42.43,32.76,3.04,0.77,2.56,3.84,0.33,0,0,0,0,0.32,0,0.33,0.36,0.17,0,0.09,0.16,0.05,0.11,0.14,0.09,0,0,0,0.03,0.03,0.03,0.03,0.06,0,0,0
2014-03,39.69,34.49,4.17,1.4,2.45,4.21,0.63,0,0,0,0,0.3,0,0.31,0.38,0.17,0,0.09,0.16,0.08,0.1,0.13,0.09,0,0.01,0,0.02,0.03,0.02,0.03,0.06,0,0,0
2014-04,38.41,32.26,6.68,3.54,2.61,4.42,0.64,0,0,0,0.07,0.31,0,0.29,0.29,0.13,0,0.08,0.14,0.08,0.1,0.14,0.08,0,0,0,0.03,0.03,0.03,0.03,0.05,0,0,0
2014-05,37.43,32.96,6.92,3.91,2.43,4.28,0.71,0,0,0,0.15,0.32,0,0.29,0.27,0.13,0,0.08,0.13,0.12,0.08,0.09,0.07,0,0,0,0.02,0.03,0.02,0.03,0.04,0,0,0
2014-06,36.17,33.34,7.64,4.08,2.5,4.14,0.85,0,0,0,0.24,0.32,0,0.27,0.27,0.11,0,0.09,0.14,0.15,0.07,0.09,0.08,0,0.01,0,0.02,0.03,0.02,0.03,0.03,0,0.01,0
