"Date","Win7","WinXP","Win10","Win8.1","Win8","WinVista","Win2003","Win2000","Win98","Other"
2009-01,0,87.63,0,0,0,8.46,0.99,2.12,0.72,0.08
2009-02,0.21,87.48,0,0,0,8.6,1.03,1.98,0.64,0.07
2009-03,0.3,87.34,0,0,0,9.09,0.93,1.73,0.56,0.06
2009-04,0.38,86.93,0,0,0,9.63,0.92,1.57,0.52,0.05
2009-05,0.51,86.83,0,0,0,9.87,0.9,1.41,0.43,0.05
2009-06,0.68,86.35,0,0,0,10.33,0.87,1.34,0.39,0.05
2009-07,0.8,85.97,0,0,0,10.88,0.82,1.14,0.35,0.04
2009-08,1.08,85.27,0,0,0,11.39,0.87,1.05,0.3,0.04
2009-09,1.35,84.8,0,0,0,11.68,0.89,0.98,0.27,0.03
2009-10,1.75,84.3,0,0,0,11.94,0.87,0.89,0.23,0.03
2009-11,2.8,83.63,0,0,0,11.65,0.87,0.81,0.21,0.03
2009-12,4.12,83.16,0,0,0,10.97,0.81,0.74,0.18,0.02
2010-01,5.82,81.77,0,0,0,10.84,0.76,0.63,0.15,0.02
2010-02,7.16,80.77,0,0,0,10.51,0.79,0.62,0.14,0.02
2010-03,8.31,79.8,0,0,0,10.41,0.74,0.61,0.12,0.02
2010-04,9.43,79.26,0,0,0,9.94,0.71,0.54,0.11,0.01
2010-05,10.63,78.49,0,0,0,9.61,0.68,0.48,0.1,0.01
2010-06,11.67,78.11,0,0,0,9.03,0.67,0.43,0.08,0.01
2010-07,13.33,76.56,0,0,0,8.97,0.66,0.39,0.07,0.01
2010-08,15.2,74.98,0,0,0,8.73,0.66,0.34,0.07,0.01
2010-09,16.99,73.57,0,0,0,8.44,0.64,0.29,0.06,0.01
2010-10,18.33,72.74,0,0,0,7.96,0.64,0.26,0.05,0.01
2010-11,19.89,71.56,0,0,0,7.62,0.62,0.24,0.05,0.01
2010-12,20.81,71.03,0,0,0,7.24,0.63,0.23,0.04,0.01
2011-01,22.65,69.46,0,0,0,7.05,0.59,0.2,0.04,0.01
2011-02,23.99,68.48,0,0,0,6.7,0.59,0.19,0.04,0.01
2011-03,25.26,67.54,0,0,0,6.41,0.58,0.17,0.03,0.01
2011-04,26.75,66.39,0,0,0,6.14,0.54,0.14,0.03,0.01
2011-05,27.61,65.91,0,0,0,5.8,0.53,0.12,0.03,0.01
