SUBDIVISION,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
HARYANA DELHI & CHANDIGARH,390.1,419.8,428.9,527.8,322.9,593.6,443.9,689.0,769.3,605.2,509.7,529.3,508.4,664.7,422.4,629.1,986.7,234.7,553.7,368.8,446.5,552.9,581.5,654.8,557.2,615.9,502.5,388.2,306.6,500.5,519.2,440.1,856.9,501.4,568.3,511.1,481.7,278.8,310.2,395.7,363.9,804.5,407.9,484.2,654.6,437.8,464.5,592.1,485.3,551.1,338.2,556.3,561.9,537.0,694.1,653.8,617.2,673.0,484.9,722.9,627.9,511.0,521.8,710.9,381.9,707.7,839.9,388.3,477.2,538.2,636.8,440.8,527.2,384.9,622.1,726.7,740.1,651.1,341.5,513.2,493.4,506.6,744.5,479.2,572.4,450.9,318.6,845.0,416.5,703.1,393.9,429.7,523.8,564.4,819.1,644.6,668.6,685.3,344.4,384.4,485.5,357.2,597.6,487.3,519.5,330.9,446.6,710.4,395.4,640.5,512.0,391.4,461.2,305.5,435.3
SAURASHTRA & KUTCH,181.3,401.1,522.8,185.6,290.0,540.3,509.6,527.9,586.4,549.7,140.4,652.6,751.9,577.1,245.8,495.9,886.7,117.6,445.1,490.1,598.1,334.9,205.0,310.7,340.6,901.4,639.5,426.8,421.8,450.2,329.7,492.5,757.9,398.4,524.1,371.1,533.6,346.0,179.4,356.5,401.8,342.2,526.6,717.6,633.1,473.4,558.8,247.7,542.3,473.6,285.2,400.8,706.6,599.8,385.1,739.1,398.5,551.6,1020.9,337.2,752.9,371.8,379.1,539.5,421.3,326.5,738.6,314.6,290.0,835.8,513.6,222.1,390.3,184.7,682.1,625.5,564.1,488.6,955.4,635.8,705.0,401.3,758.4,443.7,298.8,298.5,92.7,752.3,498.2,407.9,218.7,600.7,312.7,872.8,374.1,374.4,600.2,566.9,380.7,286.1,510.2,308.1,686.2,482.2,631.6,701.8,890.7,607.9,596.9,1119.9,742.5,323.8,681.8,383.9,441.7
WEST RAJASTHAN,158.9,195.6,307.0,167.9,114.4,269.5,353.2,581.9,426.2,293.2,138.8,279.9,248.3,302.3,147.2,421.7,768.8,62.3,305.0,248.7,218.0,244.8,273.4,297.1,169.7,440.2,332.5,272.0,303.3,230.1,395.4,265.3,376.4,322.4,256.6,265.5,292.5,183.5,137.4,292.4,224.8,338.9,295.6,525.1,364.0,223.1,253.2,233.5,224.8,278.3,179.8,267.1,304.4,250.4,391.3,374.2,267.1,264.1,335.3,217.8,400.3,262.5,174.5,337.3,215.3,252.9,340.3,142.2,119.0,355.7,251.5,185.9,454.8,164.3,553.8,425.2,389.4,379.7,308.2,238.4,248.5,311.8,469.3,203.2,197.4,204.2,143.0,280.4,248.1,445.0,179.0,425.8,293.5,415.5,367.9,307.9,345.1,279.6,204.3,235.3,285.3,92.4,368.1,196.7,260.8,361.3,310.8,324.1,160.4,473.2,418.7,327.3,389.4,302.4,458.4
GANGETIC WEST BENGAL,1487.6,1347.7,1354.3,1383.1,1666.9,1395.6,1337.0,1400.0,1697.8,1385.9,1264.9,1347.4,1826.8,1383.9,1310.3,1600.5,1775.8,1395.4,1482.2,1363.6,1300.2,1655.6,1285.2,1266.5,1273.6,1705.4,1190.5,1625.0,1557.3,1380.8,1475.8,1306.9,1867.2,1117.4,1015.1,1505.6,1522.5,1337.8,1698.4,1358.5,1801.1,1615.6,1446.2,1406.4,1271.5,1714.2,1363.0,1532.1,1493.7,1615.6,1214.0,1395.7,1505.8,1080.0,1268.2,1714.2,1130.5,1151.1,1812.9,1245.5,1290.4,1173.6,1289.5,1278.5,1263.7,1118.7,1348.4,1597.7,1404.0,1648.5,2099.8,1333.2,1735.2,1470.7,1466.2,1240.6,1840.6,1872.5,1157.9,1521.0,1909.0,1111.0,1463.6,1831.7,1413.4,1791.0,1591.5,1681.5,1626.3,1961.3,1609.1,1414.6,1759.7,1530.8,1936.0,1504.0,1657.7,1632.7,1957.0,1572.1,1540.6,1613.3,1496.7,1569.4,1604.9,1660.5,1941.4,1555.2,1315.0,1064.8,1686.5,1268.0,1764.1,1261.4,1530.3
EAST UTTAR PRADESH,873.2,905.2,1216.4,1071.2,891.6,997.7,666.3,744.7,1106.9,1116.4,1113.9,879.6,861.4,988.8,1409.8,1201.9,1216.5,650.7,1023.4,860.2,1114.7,1364.0,1076.2,1119.9,1114.1,989.5,1031.2,804.8,1014.8,1069.5,1047.1,738.5,977.5,1068.4,919.8,1545.5,1035.3,1374.2,945.0,866.8,798.2,1028.6,1101.1,1061.5,980.4,1038.9,1006.3,1323.1,1131.0,951.4,752.5,935.9,1266.9,969.7,1424.3,1254.1,955.7,1016.9,869.2,1170.0,1214.3,1072.0,996.3,1036.6,685.5,707.8,1029.4,840.0,1024.6,1132.3,1311.1,666.9,955.7,882.2,1225.5,923.5,914.1,1116.3,696.5,1488.5,1110.1,1110.6,1204.8,1076.7,1175.9,935.3,824.7,1085.1,969.9,1106.1,875.2,863.4,834.0,910.2,860.5,1010.3,493.3,661.0,952.8,946.8,973.8,689.1,1096.4,746.9,770.3,632.1,741.2,953.4,610.2,692.2,781.2,602.7,1041.4,701.2,603.3
GUJARAT REGION,554.3,863.9,887.6,492.6,811.5,890.6,997.0,1027.5,977.8,974.6,403.5,1118.5,1162.6,1107.5,567.3,952.9,1524.9,392.6,1067.4,708.9,1172.8,878.7,553.2,909.6,593.1,1274.5,1422.1,821.0,676.3,894.7,1104.6,906.6,1137.1,979.6,756.9,609.3,1203.1,814.9,605.6,870.1,961.8,1186.8,912.8,1340.6,1277.0,1147.7,783.4,473.9,800.3,1129.3,478.3,776.6,1055.5,1248.0,975.7,1366.6,647.8,1123.1,1560.7,649.6,945.1,773.0,997.9,892.7,656.7,696.7,938.7,668.0,789.0,1353.8,769.2,503.8,1159.6,421.3,1192.7,1620.1,1307.7,935.8,904.5,822.0,1114.2,758.3,1213.9,853.6,589.7,501.8,401.9,1097.4,822.8,1118.4,672.7,901.1,941.4,1534.5,684.3,902.8,1068.9,1070.0,568.4,550.6,849.0,637.2,1160.3,1005.8,1316.4,1478.0,1178.9,911.1,641.6,1088.7,890.5,714.0,1118.6,705.7,622.9
ASSAM & MEGHALAYA,2498.6,2952.1,2544.7,2664.1,2790.6,2663.4,2521.1,2277.8,2377.0,2887.3,3096.2,2743.5,2760.5,2343.8,3165.1,2601.1,2519.9,3106.8,2344.2,2623.6,2999.7,2261.9,2440.6,2691.4,2550.5,2511.7,2793.1,2634.3,2953.8,2550.7,2800.1,2888.7,2339.1,3074.9,2678.4,2671.3,2324.6,2786.5,2401.6,2451.6,2709.5,2677.0,2703.7,2524.3,2665.7,2679.5,2643.3,3185.4,2983.4,2392.4,2613.8,2851.3,2559.9,2859.1,2761.2,2802.9,2257.2,2626.4,2535.8,2342.2,2195.3,2295.9,2511.8,2729.6,2398.9,2789.3,2123.4,2530.8,2332.2,3048.4,2315.1,2379.1,2672.1,3403.5,2270.6,1956.0,2616.6,2011.9,2188.5,2289.2,2079.3,2382.2,2620.0,3157.0,2801.6,2592.8,2921.4,3261.7,2682.1,2771.2,2838.0,2259.8,2879.2,2121.3,2886.1,2466.9,2372.2,2803.1,2594.2,2487.0,2178.4,2392.7,2434.1,2994.3,2468.3,1898.6,2752.8,2339.7,2068.2,2711.5,1743.4,2609.4,1816.4,2206.1,2470.9
TAMIL NADU,960.3,1138.2,1163.9,663.1,821.1,990.2,885.6,765.0,954.6,943.7,814.9,904.1,878.8,953.3,988.5,897.4,948.3,871.7,1028.6,1154.2,979.4,1080.5,834.1,895.1,1013.3,815.6,829.9,970.8,977.7,1275.4,1039.8,1109.8,1010.9,839.7,893.9,944.5,1020.1,783.2,1055.8,1178.5,1006.9,847.3,1187.3,1227.6,784.0,1294.1,939.5,906.7,840.7,747.5,855.1,716.4,968.0,1016.3,1060.6,989.7,866.9,852.5,894.3,1013.9,910.7,941.6,1072.8,910.6,921.8,1166.9,899.1,789.4,961.8,942.1,1047.6,1093.4,858.5,652.8,923.6,858.9,1246.0,998.8,1103.4,709.1,1045.9,678.6,1007.7,1023.8,1063.5,953.0,963.5,837.2,856.5,903.2,954.8,918.7,1082.3,905.9,843.4,1069.4,950.5,1079.7,922.6,972.0,483.4,318.0,348.5,1037.6,1365.3,927.9,1067.2,1203.4,928.5,1095.2,926.5,636.1,741.9,913.0,1204.6
CHHATTISGARH,1387.0,923.9,1331.2,1492.4,1251.1,1394.6,1308.8,1488.7,1284.1,1407.2,1504.1,1227.0,1234.6,1418.1,1455.9,1443.0,1727.7,1377.2,1859.0,1203.4,1319.4,1308.8,1387.2,1334.2,1737.1,1634.9,1537.1,1219.2,1663.8,1383.5,1467.0,1357.6,1650.6,1529.2,1269.2,1826.2,1616.8,1505.8,1480.3,1448.4,1005.1,1598.3,1645.1,1792.7,1585.6,1599.0,1599.6,1491.7,1499.6,1292.2,1411.6,1396.4,1370.2,1193.7,1440.7,1557.0,1222.4,1520.9,1544.2,1364.3,1974.0,1124.7,1337.2,1509.1,941.6,1087.1,1472.5,1168.0,1172.6,1501.5,1533.8,1198.9,1467.3,951.0,1475.5,1379.3,1465.5,1370.4,904.6,1495.4,1216.2,1197.4,1371.9,1254.7,1237.5,1368.6,1142.8,1206.3,1187.2,1643.8,1220.8,1156.6,1205.3,1754.5,1280.7,1187.0,1317.2,1332.5,1322.6,906.3,1600.1,990.2,1694.3,1144.5,1287.2,1317.7,1281.2,1108.5,956.6,1306.6,1302.7,1377.4,1420.0,1278.7,1117.6
COASTAL KARNATAKA,3056.9,3699.2,3317.4,3141.1,2652.3,2836.0,3535.2,3655.5,3172.9,3020.8,2522.3,3395.9,2836.3,3872.7,2648.7,3467.9,3424.1,2510.9,2918.1,2789.2,3007.4,3332.6,3681.1,3528.9,3581.3,2956.4,3216.4,3339.6,3663.6,2913.0,3842.4,3423.4,4139.5,3011.8,2886.0,3324.7,3314.2,3150.9,2744.2,3723.9,2515.1,3502.6,3577.2,2984.5,3079.3,4041.4,3338.0,3626.6,3362.4,3766.1,3124.3,2896.6,3463.3,3821.5,3552.5,3856.6,3174.8,3687.4,4330.8,3504.2,5553.9,4017.7,3171.3,3140.5,2831.1,2976.6,3181.8,3461.0,3342.9,4042.0,3235.2,2856.9,3126.0,3433.5,4300.0,2933.9,3379.0,3862.9,2823.4,3762.0,3848.6,4090.9,3942.2,3359.0,3015.7,2934.5,2716.2,3466.6,3215.6,4120.4,3719.7,3882.2,3481.3,4636.3,3357.8,3188.9,3953.6,3707.9,3779.9,3351.3,3111.6,2793.1,3071.9,3070.0,3470.9,3837.3,3860.2,3206.4,3862.0,3686.8,3908.6,0.0,4229.4,3684.4,3106.0
