STATE/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ANDHRA PRADESH,13669,15146,16929,17075,17175,19006,22304,21796,23224,24757,25536,25167,30438,16512,15931
ARUNACHAL PRADESH,180,159,139,148,150,168,185,175,164,190,171,200,286,351,384
ASSAM,4048,5001,5198,5636,5920,6741,6807,8082,9644,11493,11462,13470,17390,19139,23258
BIHAR,4489,4953,5184,6847,5202,5818,6543,7335,7511,7450,8815,9836,11652,15383,13891
CHHATTISGARH,3964,3514,3313,3747,3588,3735,3747,3943,3976,4157,4186,4208,6993,6255,5720
GOA,55,51,96,104,83,70,70,116,140,124,106,160,412,488,365
GUJARAT,5744,5311,5647,6178,6284,7200,8216,8564,7966,8095,8741,9517,12123,10837,7762
HARYANA,3372,4350,4110,4208,4069,4525,4549,5052,5216,5494,5425,5922,9013,8974,9446
HIMACHAL PRADESH,880,831,717,812,788,790,1014,976,945,1027,995,906,1472,1517,1289
JAMMU & KASHMIR,1646,2013,2158,2195,2141,2425,2519,2289,2613,2605,3141,3322,3505,3321,3363
JHARKHAND,1851,2288,2221,2288,2216,2621,2850,2740,2606,2664,2715,3458,5065,5972,6518
KARNATAKA,4285,4399,4132,3916,4455,4822,5440,5747,6618,7488,8031,8703,9992,13914,12705
KERALA,5270,5668,5474,6268,6425,7301,7601,7906,7703,9110,11074,10714,11013,11380,9708
MADHYA PRADESH,14504,15222,14485,15140,14474,14275,15299,14866,15716,16382,16509,16718,21967,28678,24135
MAHARASHTRA,12255,11113,11057,11828,13117,14010,14555,15485,14726,15391,15293,15952,24563,26693,31126
MANIPUR,108,164,137,134,139,171,188,211,194,190,247,289,285,337,266
MEGHALAYA,66,71,68,113,130,175,171,205,236,258,267,248,339,388,334
MIZORAM,124,154,147,86,94,125,151,161,149,170,159,199,177,258,158
NAGALAND,29,22,24,26,33,34,28,46,43,39,36,47,66,67,90
ODISHA,4897,4331,4523,4685,5773,5387,5804,6958,7161,7534,8347,10476,12130,14606,17144
PUNJAB,2328,2249,2317,1914,1906,2167,2643,2580,2563,2793,2588,3151,4854,5425,5291
RAJASTHAN,12057,11934,11671,12946,11431,12686,14046,14309,17145,18017,19701,20906,27734,31151,28165
SIKKIM,24,28,36,48,62,47,53,48,40,39,54,68,93,110,53
TAMIL NADU,4835,6138,5868,5914,5648,4641,6219,6267,5126,5928,6315,6381,6612,6325,5847
TRIPURA,438,536,537,670,840,964,1067,1415,1515,1676,1356,1559,1627,1615,1267
UTTAR PRADESH,19858,15317,12426,14964,14258,15677,20141,23188,22941,20030,22468,23033,31231,38467,35527
UTTARAKHAND,744,869,885,982,782,1034,1086,1148,1181,1069,990,1055,1706,1395,1453
WEST BENGAL,6533,6794,8338,10865,11794,12690,16432,20779,23196,26014,28919,30585,29611,38299,33218
A & N ISLANDS,34,27,22,27,22,36,54,80,91,82,48,47,102,115,136
CHANDIGARH,146,186,155,179,196,221,224,135,146,138,154,241,481,432,463
D & N HAVELI,19,15,11,22,24,32,16,25,19,29,17,14,19,21,25
DAMAN & DIU,7,5,10,6,9,8,6,9,9,8,5,8,18,15,28
LAKSHADWEEP,0,2,4,1,0,1,5,4,1,0,0,2,3,4,9
PUDUCHERRY,78,111,103,100,105,139,163,117,93,93,78,46,71,77,80
TELANGANA,0,0,0,0,0,0,0,0,0,0,0,0,0,14136,15135
DELHI UT,0,0,0,0,0,0,0,0,0,0,0,0,0,15265,17104
