City,Country,2019,2018-mid,2018,2017-mid,2017,2016-mid,2016,2015-mid,2015,2014-mid,2014,2013,2012
Faridabad,India,172.79,173.2,173.69,176.72,175.15,0,0,163.88,177.62,0,0,0,0
Ghaziabad,India,172.29,171.98,177.55,177.38,172.48,169.68,0,0,148.58,148.58,0,0,0
Noida,India,168.21,168.08,168.63,161.64,168.53,171.64,175.79,165.97,164.89,0,0,0,0
Varanasi,India,166.07,166.01,166.12,163.67,161.26,0,0,152.34,153.6,0,0,0,0
Delhi,India,167.21,165.92,167.89,168.43,169.47,168.98,171.02,160.73,155.33,152.58,143.06,136.56,160.17
Allahabad,India,167.11,165.98,166.15,0,0,0,0,0,0,0,0,0,0
Gurgaon,India,164.23,164.41,165.34,163.21,159.22,153.84,152.12,151.22,152.64,146.06,139.64,144.91,0
Patna,India,162.83,162.91,162.37,157.7,154.62,158,159.04,152.06,179.6,0,0,0,0
Kanpur,India,161.54,163.35,172.56,172.75,173.48,0,0,175.66,185.08,0,0,0,0
Raipur,India,159.09,158.22,159.61,165.28,165.47,155.78,0,0,177.69,0,0,0,0
Amritsar,India,155.17,152.28,155.67,163.54,169.9,0,0,0,0,0,0,0,0
Ludhiana,India,154.51,160.99,161.87,148.25,152.74,155.37,0,145.88,142.89,130.02,138.81,141.53,0
Gwalior,India,152.86,159.89,158.29,150.25,155.21,0,0,0,0,0,0,0,0
Agra,India,153.46,153.63,151.14,152.85,156.81,0,0,0,0,0,0,0,0
Mumbai,India,149.01,151.62,153.75,153.9,156.42,159.45,160.69,159.34,167.29,165.89,166.94,174.41,172.83
Bangalore,India,146.08,147.13,149.23,149.18,147.74,149.26,148.58,144.14,134.95,140.81,134.63,118.08,96.67
Lucknow (Lakhnau),India,146.39,145.02,143.55,147.77,150.2,154.68,156.48,148.92,122.33,94.46,94.46,205.61,0
Meerut,India,144.56,151.35,157.51,161.84,0,0,0,0,0,187.83,174.54,142.55,0
Kolkata,India,140.6,138.16,141.28,140.42,143.77,148.83,145.28,149.22,147.8,147.85,142.87,173.16,210.58
