STATE/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ANDHRA PRADESH,130089,143610,156951,158756,157123,173909,175087,179275,180441,181438,189780,192522,218015,114604
ARUNACHAL PRADESH,2342,2228,2061,2256,2304,2294,2286,2374,2362,2439,2286,2420,2776,2843
ASSAM,36877,36346,38195,40675,42006,43673,45282,53333,55313,61668,66714,77682,87186,94337
BIHAR,88432,94040,92263,108060,97850,100665,109420,122669,122931,127453,135896,146614,167455,177595
CHHATTISGARH,38460,37950,38449,41927,43633,45177,45845,51442,51370,54958,57218,54598,56870,58200
GOA,2341,2440,2244,2127,2119,2204,2479,2742,3005,3293,3449,3608,4312,4466
GUJARAT,103419,106675,103709,105469,113414,120972,123195,123808,115183,116439,123371,130121,157435,131385
HARYANA,38759,40152,38612,39096,42664,50509,51597,55344,56229,59120,60741,62480,72098,79947
HIMACHAL PRADESH,11499,12243,12011,12326,12345,13093,14222,13976,13315,13049,14312,12557,13750,14160
JAMMU & KASHMIR,19505,19967,21233,21191,20115,20787,21443,20604,21975,23223,24504,24608,25390,23848
JHARKHAND,25447,31439,32203,31439,35175,36364,38489,38686,37436,38889,35838,40946,48208,45335
KARNATAKA,109098,113699,112405,114440,117580,117710,120606,127540,134042,142322,137600,134021,136689,137338
KERALA,103847,104200,98824,104025,104350,105255,108530,110620,118369,148313,172137,158989,176334,206789
MADHYA PRADESH,181741,191799,191078,196867,189172,194711,202386,206556,207762,214269,217094,220335,227453,272423
MAHARASHTRA,171233,165462,164306,176302,187027,191788,195707,206243,199598,208168,204902,202700,234385,249834
MANIPUR,2489,2584,2537,2535,2913,2884,3259,3349,2852,2715,3218,3737,3178,3641
MEGHALAYA,1687,1664,1669,1752,1880,1935,2079,2318,2448,2505,2755,2557,3259,3679
MIZORAM,2246,2820,3456,1515,2156,2073,2083,1989,2047,2174,1821,1766,1709,2140
NAGALAND,1234,1114,976,984,1049,1103,1180,1202,1059,1059,1083,1090,1216,1157
ODISHA,46661,47728,47281,48739,51685,52792,54872,56755,55740,56459,61277,67957,71718,74569
PUNJAB,27774,28794,28756,25630,27136,32068,35793,35314,35545,36648,34883,35790,36667,37162
RAJASTHAN,155185,151248,145579,154859,140917,141992,148870,151174,166565,162957,165622,170948,196224,210418
SIKKIM,444,485,443,631,552,703,667,730,669,552,596,528,851,1065
TAMIL NADU,154801,166942,157186,166606,162360,148972,172754,176833,174691,185678,192879,200474,203579,193200
TRIPURA,2801,3075,3514,3081,3356,3940,4273,5336,5486,5805,5803,6264,6210,5499
UTTAR PRADESH,178129,146037,95073,130181,122108,127001,150258,168996,172884,174179,195135,198093,226445,240475
UTTARAKHAND,8073,7976,7923,8634,8033,8412,9599,8856,8802,9240,8774,8882,9546,9156
WEST BENGAL,61563,58962,61174,69350,66406,68052,81102,105419,113036,129616,143197,161427,169535,193048
A & N ISLANDS,658,608,644,748,682,676,807,882,941,980,793,683,612,746
CHANDIGARH,3397,3806,2806,2889,3133,3126,3643,3931,3555,3373,3542,3606,4077,3221
D & N HAVELI,350,349,338,409,434,435,425,401,442,378,372,318,314,277
DAMAN & DIU,239,261,269,198,243,288,260,248,276,203,224,239,246,233
LAKSHADWEEP,36,53,31,70,42,80,56,95,134,42,44,60,40,81
PUDUCHERRY,4068,4437,4517,4620,4575,4687,5054,4989,4591,3935,4362,4281,3756,3584
TELANGANA,0,0,0,0,0,0,0,0,0,0,0,0,0,106830
