STATE/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Total
Meghalaya,161,465,373,328,330,176,157,191,314,257,261,355,194,301,3863
Manipur,410,520,523,468,600,521,538,502,578,602,691,771,671,735,8130
Puducherry,1286,1484,1586,1633,1780,1639,1744,1698,1698,1529,1480,1510,1451,671,21189
Arunachal Pradesh,236,235,229,217,237,243,230,261,261,280,263,204,308,185,3389
Uttar Pradesh,17921,14457,11354,14374,14689,16207,18031,19064,21985,25416,24513,24478,25975,26064,274528
Odisha,6406,6850,6675,7278,7593,7729,8214,8184,8892,9413,9398,9285,9680,9640,115237
Maharashtra,37269,39561,43022,44539,46586,48887,51975,49679,48865,50619,47120,45247,43863,44382,641614
West Bengal,11430,11237,11375,12152,12181,13085,13954,11547,13959,14725,14468,15608,16549,17105,189375
Punjab,1808,1508,1603,2036,2152,2251,2391,2394,2684,2439,6496,6328,6323,6391,46804
Kerala,36439,34534,31947,41103,42295,41728,39861,37238,35457,35082,35216,36174,35215,35872,518161
Andhra Pradesh,27188,32577,34537,37078,37289,41323,43594,42106,42011,42428,41066,39344,43048,43232,546821
Himachal Pradesh,2110,2281,2359,2515,2401,2416,2582,1982,3078,3077,3099,2899,2981,3325,37105
Jammu & Kashmir,5011,5373,5888,6281,5669,5609,5874,5426,6012,6142,6665,6637,6455,5778,82820
Rajasthan,19999,20571,21933,23243,23115,23348,23885,23704,25114,24302,23245,22969,23586,24639,323653
Assam,1806,2243,2145,2002,3656,4080,3995,4262,4585,5485,6569,6535,7211,7144,61718
Chandigarh,493,494,443,411,528,521,536,477,424,456,441,412,409,366,6411
Delhi (Ut),9282,8710,8869,9110,9580,9699,10528,8566,7614,7220,7280,6937,7569,8310,119274
Karnataka,32860,35661,37511,38751,40273,43280,46334,46252,45190,46220,44696,44448,39591,43694,584761
Jharkhand,995,880,880,1295,2739,4301,4504,3259,4536,4228,3901,4625,5161,4905,46209
Goa,1375,1201,1678,1542,1069,3749,4022,4179,4170,4574,4561,4288,4293,4230,44931
Nagaland,60,34,56,68,53,77,75,126,47,44,32,42,39,28,781
Lakshadweep,6,0,1,2,0,1,2,0,1,0,0,0,0,1,14
Tripura,544,624,676,645,662,793,801,767,865,901,834,888,818,716,10534
Tamil Nadu,51978,53503,51025,52508,75480,55145,59117,60409,60794,64996,65873,67757,66238,67250,852073
Sikkim,55,351,131,159,189,39,150,196,564,186,129,123,244,130,2646
Bihar,4334,4372,3902,3890,3746,4382,5631,6180,8366,8441,9355,10320,10198,9531,92648
Madhya Pradesh,19712,22879,22616,23591,21474,25038,28444,34316,32332,30127,30573,29173,34034,39698,394007
Chhattisgarh,4987,5801,7023,6075,5996,7111,7837,8769,7913,7802,9195,13511,13657,12140,117817
Gujarat,19808,18740,18102,18478,18541,18944,21433,21027,20101,20498,30199,27267,25035,22152,300325
Mizoram,72,41,71,38,71,72,52,87,71,125,97,110,114,95,1116
Uttarakhand,1003,1117,1186,1252,1332,1461,1522,1409,1383,1479,1495,1455,1297,801,18192
D & N Haveli,87,80,73,111,127,103,116,116,45,79,103,85,91,87,1303
A & N Islands,181,168,180,215,206,155,152,191,271,285,235,236,200,218,2893
Haryana,6373,7087,6424,7908,7682,10262,10316,11241,11427,11161,10553,9971,10473,11043,131921
Daman & Diu,35,68,72,47,57,57,60,50,21,36,21,50,30,39,643
