Entity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,990,1003,20272,25520,306904,545607,505719,502210,994154,1152127,1485430,1674380,1872170,2293061,2786634,3672058,0
Albania,0,0,0,0,0,347,996,1503,2018,2537,3562,10173,12167,30236,74977,186102,293521,454678,713808,1220606,1323236,1434063,1595975,1669655,1755386,1849106,1942025,0
Algeria,0,0,0,0,102,511,511,3069,6140,61385,153332,204121,509246,711374,1521549,1945357,2491454,3241766,3548821,3982805,4514705,5486114,6836984,8626176,11538427,15230924,17438483,0
Angola,0,0,0,0,0,0,114,856,2861,11478,17270,23100,47512,67477,87691,223557,303936,356961,413429,518640,654336,750776,1631250,2313852,2745888,3454554,3745750,0
Antigua and Barbuda,0,0,0,0,0,1620,2162,2706,3251,4338,5418,7569,10783,15039,21417,24098,27090,31070,35142,39304,44491,49774,56131,62020,67017,69946,73703,0
Argentina,0,0,1007,10072,15104,30193,50280,100457,301083,1203699,2608357,3665016,4123168,4564063,6210799,6936809,8278569,10370927,11352549,13871798,18550750,21245008,23489980,25481415,27809040,29542778,31118074,0
Armenia,0,0,0,0,299,1697,2996,3498,4000,29986,39919,49759,59477,138071,147000,156605,166616,176607,180600,441953,719328,920186,1080721,1212380,1587459,1723987,1882003,0
Aruba,0,0,0,0,0,0,2303,0,0,4011,14030,15886,17858,20180,22710,25408,28233,31277,52704,58843,63035,70417,75907,81415,86959,92510,98053,0
Australia,99709,189508,309285,349259,399161,498856,598443,3023026,5751305,7693499,8914445,10152449,0,0,0,12750509,13578580,14547458,15296165,16141237,16811249,17868675,18029261,19320093,19718721,20125028,21288325,21160670
Austria,10070,20138,50339,60402,110738,151030,553967,765852,1240028,1855324,2721778,3173139,2973941,3491089,4460082,4787117,5269091,5765884,6076231,6147793,6321759,6661296,6816593,6915305,6992548,7284877,7346364,7681572
