Airport,Country,Code,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Hartsfield–Jackson Atlanta International Airport,United States,ATL/KATL,107394029,103902992,104171935,101491106,96178899,94430785,94956643,92389023,89331622,88032086,90039280,89379287,84846639,85907423,83606583,79086792,76876128,75858590,80162407
Beijing Capital International Airport,China,PEK/ZBAA,100983290,95786442,94393454,89938628,86128270,83712355,81929359,78675058,73948113,65372012,55937289,53583664,48654770,41004008,34883190,0,27159665,0,0
Dubai International Airport,United Arab Emirates,DXB/OMDB,89149387,88242099,83654250,78014841,70475636,66431533,57684550,50977960,47180628,40901752,37441440,34348110,28788726,24782288,0,0,0,0,0
Los Angeles International Airport,United States,LAX/KLAX,87534384,84557968,80921527,74937004,70663265,66702252,63688121,61862052,59070127,56520843,59497539,61896075,61041066,61489398,60688609,54982838,56223843,61606204,66424767
Tokyo Haneda Airport,Japan,HND/RJTT,87131973,85408975,79699762,75316718,72826565,68906636,67788722,62584826,64211074,61903656,66754829,66823414,65810672,63282219,62291405,62876269,61079478,58692688,56402206
O'Hare International Airport,United States,ORD/KORD,83339186,79828183,78327479,76942493,69999010,66883271,66834931,66701241,66774738,64158343,69353876,76177855,77028134,76510003,75533822,69508672,66565952,67448064,72144244
London Heathrow Airport,United Kingdom,LHR/EGLL,80126320,78014598,75715474,74989795,73408489,72368030,70037417,69433565,65884143,66037578,67056379,68068304,67530197,67915403,67344054,63487136,63338641,60743084,64606826
Hong Kong International Airport,"Hong Kong SAR, China",HKG/VHHH,74517402,72665078,70314462,68283407,63121786,59609414,56064248,53328613,50348960,45558807,47857746,47042419,43857908,40269847,36711920,27092290,33882463,32546029,32752359
Shanghai Pudong International Airport,China,PVG/ZSPD,74006331,70001237,66002414,60053387,51687894,47189849,44880164,41447730,40578621,32102549,28230017,29083510,26789125,23720185,0,0,0,0,0
Paris-Charles de Gaulle Airport,France,CDG/LFPG,72229723,69471442,65933145,65766986,63813756,62052917,61611934,60970551,58167062,57906866,60874681,59922177,56849567,53798308,51260363,48220436,48350172,47996529,48246137
Amsterdam Airport Schiphol,The Netherlands,AMS/EHAM,71053157,68515425,63625534,58284864,54978023,52569250,51035590,49755252,45211749,43570370,47430019,47794994,46065719,44163098,42541180,39960400,40736009,39531123,39606925
Indira Gandhi International Airport,India,DEL/VIDP,69900938,63451503,55631385,45981773,39752819,36712455,34211608,34729467,28531607,25252814,23181090,0,0,0,0,0,0,0,0
Guangzhou Baiyun International Airport,China,CAN/ZGGG,69769497,65887473,59732147,55201915,54780346,52450262,48548430,45040340,40975673,37048712,33444814,30958374,26222037,23558274,0,0,0,0,0
Frankfurt Airport,Germany,FRA/EDDF,69510269,64500386,60786937,61032022,59566132,58036948,57520001,56436255,53009221,50932840,53467450,54161856,52810683,52219412,51098271,48351664,48450357,48559980,49360630
Dallas/Fort Worth International Airport,United States,DFW/KDFW,69112607,67092194,65670697,65512163,63554402,60436266,58591842,57832495,56906610,56030457,57093187,59786476,60226138,59176265,59412217,53253607,52828573,55150693,60687122
Seoul Incheon International Airport,Republic of Korea,ICN/RKSI,68350784,62157834,57849814,49412750,45662322,41679758,39154375,35191825,33605579,28677161,30166816,31421801,28360723,26223291,0,0,0,0,0
Istanbul Atatürk Airport,Turkey,IST/LTBA,68192683,63859785,60248741,61346229,56767108,51172626,44992420,37406025,32165817,29854119,26364017,25561435,23261878,0,0,0,0,0,0
Soekarno-Hatta International Airport,Indonesia,CGK/WIII,66908159,63015620,54969536,54053905,57221169,59701543,57730732,51533187,44355998,37143719,32172114,32458946,30583957,27947482,0,0,0,0,0
Singapore Changi Airport,Singapore,SIN/WSSS,65628000,62219573,58698000,55449000,54093000,53726087,51181804,46543845,42038777,37203978,37694824,36701556,35033083,32430856,30353565,0,28979344,28093759,28618200
Denver International Airport,United States,DEN/KDEN,64494613,61379396,58266515,54014502,53472514,52556359,53156278,52849132,52209377,50167485,51245334,49863352,47325016,43387513,42393766,37505138,35651098,36092806,38751687
Suvarnabhumi Airport,Thailand,BKK/VTBS,63378923,60860557,55892428,52808013,46423352,51363451,53002328,47910904,42784967,40500224,38603490,41210081,42799532,0,0,0,0,0,0
John F. Kennedy International Airport,United States,JFK/KJFK,61909148,59392500,58813103,56827154,53254533,50413204,49293587,47644060,46514154,45915069,47807816,47716941,43762282,41885104,37518143,31732371,29943084,29349000,32856220
Kuala Lumpur International Airport,Malaysia,KUL/WMKK,59959000,58558440,52640043,48938424,48930409,47498157,39887866,37704510,34087636,29682093,27529355,26453379,24129748,23213926,0,0,0,0,0
Madrid Barajas Airport,Spain,MAD/LEMD,57891340,53386075,50397928,46779554,41822863,39729027,45175501,49653055,49844596,48250784,50824435,52122702,45501168,41940059,38704731,35854293,33913456,34047931,32893190
San Francisco International Airport,United States,SFO/KSFO,57793313,55822129,53099282,50057887,47114631,44944201,44431894,40927786,39253999,37338942,37234592,35792707,33574807,32803363,32247746,29313271,31456422,34632474,41040995
Chengdu Shuangliu International Airport,China,CTU/ZUUU,52950000,49801693,46039137,42244842,37712357,33445817,31599353,29073990,0,0,0,0,0,0,0,0,0,0,0
Barcelona–El Prat Airport,Spain,BCN/LEBL,50172457,47262826,44131031,39674095,37540326,35210735,35131771,34387597,29197135,27301662,30195794,32794575,30000601,27121753,0,0,0,0,0
Chhatrapati Shivaji International Airport,India,BOM/VABB,49877918,47204259,44680555,40637377,34993738,31940026,30038696,30439122,28137797,24804766,24335306,25236400,0,0,0,0,0,0,0
Seattle-Tacoma International Airport,United States,SEA/KSEA,49849520,46934194,45736700,42340461,37497941,34824281,33219723,32820060,31553166,31227512,32187939,31296628,29979097,29289026,28804554,26755888,26690843,27036073,28408553
McCarran International Airport,United States,LAS/KLAS,49716584,48566803,47496614,45356580,42869517,41856787,41666527,40560285,39757359,40469012,43208724,46961011,46193329,43989982,41411531,36285932,35009011,35180960,36865866
Toronto Pearson International Airport,Canada,YYZ/CYYZ,49507418,47054696,44335198,41036847,38569088,36037962,34912456,33434199,31937895,30368339,32338902,31452848,30792577,29914750,28615709,24739312,25930363,28042692,28930036
Shenzhen Bao'an International Airport,China,SZX/ZGSZ,49350000,45558409,41975090,39721619,36272701,32268457,29569725,28245745,26713610,24486406,0,0,0,0,0,0,0,0,0
Benito Juárez International Airport,Mexico,MEX/MMMX,47700547,44732418,41410254,38433288,34255739,31534638,0,0,0,24243056,26210217,25881662,24727296,24115552,0,0,0,0,0
Orlando International Airport,United States,MCO/KMCO,47696627,44511265,41923399,38727749,35714091,34973645,35214430,35356991,34877899,33693649,35660742,36480416,34640451,34128048,31143388,27319223,26653672,28253248,30823509
Kunming Changshui International Airport,China,KMG/ZPPP,47090000,44729736,41980515,37523345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan Taoyuan International Airport,Taiwan,TPE/RCTP,46535180,44878703,42296322,38473333,35804465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte Douglas International Airport,United States,CLT/KCLT,46444380,45909899,44422022,44876627,44279504,43456310,41226035,39043708,38254207,34536666,34739020,33165688,29693949,28206052,0,0,0,0,0
Munich Airport,Germany,MUC/EDDM,46253623,44577241,42261309,40981522,39700515,38672644,38360604,37763701,34721605,32681067,34530593,33959422,30757978,28619427,0,0,0,0,0
London Gatwick Airport,United Kingdom,LGW/EGKK,46075400,45561694,43136795,40271343,38105747,35448590,34222405,33668048,31378644,32398979,34214740,35218374,34172492,32784330,31461454,30007021,29628423,31182364,32065685
Newark Liberty International Airport,United States,EWR/KEWR,46065175,43393499,40289969,37494704,35610759,35016236,33993962,33577154,33133852,33399207,35360848,36367240,36724167,33999990,31947266,29431061,29202654,30558000,34188468
Sheremetyevo International Airport,Russia,SVO/UUEE,45836000,40092806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninoy Aquino International Airport,Philippines,MNL/RPLL,45082544,42022484,39534991,36583459,34015169,32856597,31878935,29551394,27148724,0,0,0,0,0,0,0,0,0,0
Miami International Airport,United States,MIA/KMIA,45044312,44071313,44584603,44350247,40941879,40563071,39467444,38314389,35698025,33886025,34063531,33740416,32533974,31008453,30165197,29595618,30060241,31668450,33621273
Phoenix Sky Harbor International Airport,United States,PHX/KPHX,44943686,43921670,43302381,44003840,42125212,40318451,40452009,40591948,38554215,37824982,39891193,42184515,41436737,41213754,39493519,37412165,0,0,0
Xi'an Xianyang International Airport,China,XIY/ZLXY,44653311,41857406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sydney Airport,Australia,SYD/YSSY,44389000,43410355,41985810,39914103,38863380,38254039,37342798,36022614,35991917,33451383,33302642,32323380,30375799,29234504,0,25333508,0,0,0
George Bush Intercontinental Airport,United States,IAH/KIAH,43807539,40696189,41622594,43023224,41239700,39865325,40022736,40128953,40479569,40007354,41709389,42998040,42550432,39684640,36506116,34154574,33905253,34803580,35251372
Shanghai Hongqiao International Airport,China,SHA/ZSSS,43630000,41884059,40460135,39090699,37971135,35599643,33828726,33112442,31298812,25078548,0,0,0,0,0,0,0,0,0
"Rome–Fiumicino International Airport ""Leonardo da Vinci""",Italy,FCO/LIRF,42995119,40968756,41738662,40422156,38506467,36165762,36980161,37651222,36227778,33723213,35132224,32855542,30102097,28619845,0,26284478,0,25565727,0
