Rank,Name of Institute,City,G/P,"IC (30)","I&F (20)","PS (15)","II (15)","P 20)","T (100)"
1,IIT Kanpur,Kanpur,G,28.3,18.9,13.8,13.2,18.5,92.7
2,IIT Kharagpur,Kharagpur,G,27.9,18.8,13.7,13.5,18.3,92.2
3,IIT Bombay,Mumbai,G,27.2,18.6,13.0,13.7,18.7,91.2
4,IIT Madras,Chennai,G,26.7,18.3,13.3,12.9,17.8,89.1
5,IIT Delhi,Delhi,G,26.1,18.5,12.7,13.4,18.1,88.8
6,BITS Pilani,Pilani,P,25.8,17.8,13.5,13.5,17.3,87.9
7,IIT Roorkee,Roorkee,G,25.5,18.6,12.9,12.4,16.3,85.6
8,IT-BHU,Varanasi,G,23.9,18.2,12.7,11.9,15.9,82.6
9,IIT Guwahati,Guwahati,G,25.2,18.1,12.5,10.5,15.1,81.4
10,"College of Engg, Anna University",Guindy,G,25.3,16.7,12.4,12.8,14.1,81.3
11,"Jadavpur University, Faculty of Engg & Tech",Calcutta,G,25.2,16.4,11.7,11.4,15.4,80.1
12,Indian School of Mines,Dhanbad,G,24.7,15.5,12.2,12.2,14.7,79.3
13,NIT,Warangal,G,24.9,16.9,11.8,11.5,14.0,79.1
14,"BIT, Mesra",Ranchi,P,23.6,13.7,12.3,12.3,14.2,76.1
15,NIT,Trichy,G,24.0,17.3,10.4,10.5,13.5,75.7
16,Delhi College of Engineering,New Delhi,G,22.4,15.9,12.6,10.8,13.8,75.5
17,Punjab Engineering College,Chandigarh,G,22.0,17.7,10.1,09.3,15.8,74.9
18,NIT,Suratkal,G,23.9,17.1,10.3,10.1,13.3,74.7
19,Motilal Nehru National Inst. of Technology,Allahabad,G,22.8,16.5,11.3,09.9,14.1,74.6
20,Thapar Inst of Engineering & Technology,Patiala,p,21.6,16.3,12.3,12.2,12.0,74.4
21,"Bengal Eng and Science University, Shibpur",Howrah,G,23.0,15.7,12.0,10.5,12.1,73.3
22,MANIT,Bhopal,G,23.5,16.3,10.6,10.4,12.4,73.2
23,PSG College of Technology,Coimbatore,G,21.8,14.9,09.8,13.6,12.8,72.9
24,IIIT,Hyderabad,G,21.3,16.3,10.3,10.7,13.9,72.5
25,Harcourt Butler Technological Institute,Kanpur,G,23.0,15.5,11.3,10.2,12.4,72.4
26,Malviya National Institute of Technology,Jaipur,G,22.5,16.5,10.4,09.2,13.0,71.6
27,VNIT,Nagpur,G,21.8,15.7,10.8,10.2,12.5,71.0
28,NIT,Kozhikode,G,21.9,16.8,09.9,10.2,11.9,70.7
